sim,year,storm_index,unique_storm_id,signal,Frequency,Intensity,Duration,storm_day,daily_flow
0,2010,0,0_2010_0,1.074086638533899,0.0,0.0,0,0,0
0,2011,0,0_2011_0,1.064876465391447,0.0,0.0,0,0,0
0,2012,1,0_2012_1,1.079033505467771,2.0,4176.14940513057,1,1,4176.14940513057
0,2012,2,0_2012_2,1.079033505467771,2.0,46019.10833848187,4,1,24442.383549743117
0,2012,2,0_2012_2,1.079033505467771,2.0,46019.10833848187,4,2,25032.37211818519
0,2012,2,0_2012_2,1.079033505467771,2.0,46019.10833848187,4,3,46019.10833848187
0,2012,2,0_2012_2,1.079033505467771,2.0,46019.10833848187,4,4,30763.689640193923
0,2013,1,0_2013_1,1.0801194122413909,1.0,16774.58891740488,1,1,16774.58891740488
0,2014,0,0_2014_0,1.1293395086409586,0.0,0.0,0,0,0
0,2015,1,0_2015_1,1.1210206991806602,1.0,21975.626539565663,1,1,21975.626539565663
0,2016,1,0_2016_1,1.1005654048355094,1.0,16935.107497970563,1,1,16935.107497970563
0,2017,1,0_2017_1,1.1009271034471113,2.0,69133.44910733054,5,4,69133.44910733054
0,2017,1,0_2017_1,1.1009271034471113,2.0,69133.44910733054,5,5,69133.44910733054
0,2017,1,0_2017_1,1.1009271034471113,2.0,69133.44910733054,5,2,69133.44910733054
0,2017,1,0_2017_1,1.1009271034471113,2.0,69133.44910733054,5,1,68303.84771804257
0,2017,1,0_2017_1,1.1009271034471113,2.0,69133.44910733054,5,3,69133.44910733054
0,2017,2,0_2017_2,1.1009271034471113,2.0,16264.383642956038,1,1,16264.383642956038
0,2018,1,0_2018_1,1.0933709045420756,1.0,1605.754099365399,1,1,1605.754099365399
0,2019,0,0_2019_0,1.112108262581624,0.0,0.0,0,0,0
0,2020,0,0_2020_0,1.1286915316394255,0.0,0.0,0,0,0
0,2021,1,0_2021_1,1.1294186483181723,2.0,19363.050333984545,6,1,19307.568814402926
0,2021,1,0_2021_1,1.1294186483181723,2.0,19363.050333984545,6,2,19363.050333984545
0,2021,1,0_2021_1,1.1294186483181723,2.0,19363.050333984545,6,3,17976.012344444105
0,2021,1,0_2021_1,1.1294186483181723,2.0,19363.050333984545,6,4,15368.380924108076
0,2021,1,0_2021_1,1.1294186483181723,2.0,19363.050333984545,6,5,13981.342934567638
0,2021,1,0_2021_1,1.1294186483181723,2.0,19363.050333984545,6,6,13814.898375822784
0,2021,2,0_2021_2,1.1294186483181723,2.0,16135.492155699434,1,1,16135.492155699434
0,2022,0,0_2022_0,1.0788039373237437,0.0,0.0,0,0,0
0,2023,1,0_2023_1,1.06484976734568,2.0,22887.10305126288,6,2,20976.052697081883
0,2023,1,0_2023_1,1.06484976734568,2.0,22887.10305126288,6,1,16289.429209447535
0,2023,1,0_2023_1,1.06484976734568,2.0,22887.10305126288,6,3,22887.10305126288
0,2023,1,0_2023_1,1.06484976734568,2.0,22887.10305126288,6,4,19520.0143319916
0,2023,1,0_2023_1,1.06484976734568,2.0,22887.10305126288,6,6,11193.294931631548
0,2023,1,0_2023_1,1.06484976734568,2.0,22887.10305126288,6,5,12876.839291267186
