sim,year,storm_index,unique_storm_id,signal,Frequency,Intensity,Duration,storm_day,daily_flow
0,2008,1,0_2008_1,1.1106872732891844,3.0,50107.30436651111,6,1,41041.435116824505
0,2008,1,0_2008_1,1.1106872732891844,3.0,50107.30436651111,6,2,50107.30436651111
0,2008,1,0_2008_1,1.1106872732891844,3.0,50107.30436651111,6,3,42021.5290897636
0,2008,1,0_2008_1,1.1106872732891844,3.0,50107.30436651111,6,4,32955.65984007699
0,2008,1,0_2008_1,1.1106872732891844,3.0,50107.30436651111,6,5,32588.12460022483
0,2008,1,0_2008_1,1.1106872732891844,3.0,50107.30436651111,6,6,32710.636346842213
0,2008,2,0_2008_2,1.1106872732891844,3.0,12873.205162608334,1,1,12873.205162608334
0,2008,3,0_2008_3,1.1106872732891844,3.0,44705.726136240686,9,1,9111.777769752873
0,2008,3,0_2008_3,1.1106872732891844,3.0,44705.726136240686,9,2,27335.33330925862
0,2008,3,0_2008_3,1.1106872732891844,3.0,44705.726136240686,9,3,42316.870541174394
0,2008,3,0_2008_3,1.1106872732891844,3.0,44705.726136240686,9,4,44705.726136240686
0,2008,3,0_2008_3,1.1106872732891844,3.0,44705.726136240686,9,5,38904.219691079685
0,2008,3,0_2008_3,1.1106872732891844,3.0,44705.726136240686,9,6,28120.2430047804
0,2008,3,0_2008_3,1.1106872732891844,3.0,44705.726136240686,9,7,16175.96502944892
0,2008,3,0_2008_3,1.1106872732891844,3.0,44705.726136240686,9,8,15152.169774420507
0,2008,3,0_2008_3,1.1106872732891844,3.0,44705.726136240686,9,9,10818.103194800227
0,2009,0,0_2009_0,1.0817088237381383,0.0,0.0,0,0,0
0,2010,1,0_2010_1,1.118386857083947,1.0,14983.544501640823,3,2,14983.544501640823
0,2010,1,0_2010_1,1.118386857083947,1.0,14983.544501640823,3,3,12896.699863529288
0,2010,1,0_2010_1,1.118386857083947,1.0,14983.544501640823,3,1,12896.699863529288
0,2011,1,0_2011_1,1.1177051510525322,3.0,71333.49887702674,4,1,63454.62073502735
0,2011,1,0_2011_1,1.1177051510525322,3.0,71333.49887702674,4,2,71333.49887702674
0,2011,1,0_2011_1,1.1177051510525322,3.0,71333.49887702674,4,3,38801.35687135184
0,2011,1,0_2011_1,1.1177051510525322,3.0,71333.49887702674,4,4,22365.847628901494
0,2011,2,0_2011_2,1.1177051510525322,3.0,63433.94958298845,8,7,41866.716290153454
0,2011,2,0_2011_2,1.1177051510525322,3.0,63433.94958298845,8,6,52157.89714395924
0,2011,2,0_2011_2,1.1177051510525322,3.0,63433.94958298845,8,5,60209.58390622918
0,2011,2,0_2011_2,1.1177051510525322,3.0,63433.94958298845,8,4,62426.44564812076
0,2011,2,0_2011_2,1.1177051510525322,3.0,63433.94958298845,8,8,32037.348274236592
0,2011,2,0_2011_2,1.1177051510525322,3.0,63433.94958298845,8,2,61853.698372610335
0,2011,2,0_2011_2,1.1177051510525322,3.0,63433.94958298845,8,1,43296.18781061116
0,2011,2,0_2011_2,1.1177051510525322,3.0,63433.94958298845,8,3,63729.504461903205
0,2011,3,0_2011_3,1.1177051510525322,3.0,17687.31725565833,3,1,14334.41711502049
0,2011,3,0_2011_3,1.1177051510525322,3.0,17687.31725565833,3,3,12211.93904434149
0,2011,3,0_2011_3,1.1177051510525322,3.0,17687.31725565833,3,2,17687.31725565833
0,2012,1,0_2012_1,1.081535060390202,1.0,22431.657556731516,1,1,22431.657556731516
0,2013,0,0_2013_0,1.078709503346229,0.0,0.0,0,0,0
0,2014,0,0_2014_0,1.1050723760986618,0.0,0.0,0,0,0
0,2015,1,0_2015_1,1.071306493671281,2.0,27501.00463148115,1,1,27501.00463148115
0,2015,2,0_2015_2,1.071306493671281,2.0,73608.55291379461,5,5,33476.49437509957
0,2015,2,0_2015_2,1.071306493671281,2.0,73608.55291379461,5,4,39635.37464588941
0,2015,2,0_2015_2,1.071306493671281,2.0,73608.55291379461,5,2,73608.55291379461
0,2015,2,0_2015_2,1.071306493671281,2.0,73608.55291379461,5,1,42118.794109917566
0,2015,2,0_2015_2,1.071306493671281,2.0,73608.55291379461,5,3,40132.05853869504
0,2016,0,0_2016_0,1.102876809627355,0.0,0.0,0,0,0
0,2017,0,0_2017_0,1.094924208791586,0.0,0.0,0,0,0
