Model_Component,Model_Fit,Model_Evaluation_1,Evaluation_Value_1,Model_Evaluation_2,Evaluation_Value_2
signal_freq,Expon,KS Test,0.6087353814258002,p_val,9.376611048849057e-31
signal,Expon,KS Test,0.6216729101695087,p_val,1.3016498024344115e-29
intensity,Expon,KS Test,0.4230835383556897,p_val,3.530626350474815e-13
duration,Expon,Chi-Squared Test,13.220156304352724,p_val,0.27918003549903314
frequency,Poisson,Chi-Squared Test,58.58186236923561,p_val,8.73330316906379e-11
Forecast_Model,"ARIMA((1, 0, 1))",AIC,-446.1042887491646,BIC,-436.2868995641506
