Model_Component,Model_Fit,Model_Evaluation_1,Evaluation_Value_1,Model_Evaluation_2,Evaluation_Value_2
signal_freq,Expon,KS Test,0.620060074954339,p_val,1.7785246979912424e-26
signal,Expon,KS Test,0.6217592378942525,p_val,1.227397475560391e-26
intensity,Expon,KS Test,0.4197295792121022,p_val,1.0834030901005063e-11
duration,Expon,Chi-Squared Test,13.180395121331994,p_val,0.06783319088209781
frequency,Poisson,Chi-Squared Test,48.429563492063494,p_val,9.696542051938611e-09
Forecast_Model,"ARIMA((1, 0, 1))",AIC,-446.1042887491646,BIC,-436.2868995641506
