Model_Component,Model_Fit,Model_Evaluation_1,Evaluation_Value_1,Model_Evaluation_2,Evaluation_Value_2
signal_freq,Expon,KS Test,0.6201144643844447,p_val,9.690977605010676e-26
signal,Expon,KS Test,0.6217590201714508,p_val,3.809092523486155e-25
intensity,Expon,KS Test,0.4188908798159312,p_val,5.218495773376748e-11
duration,Expon,Chi-Squared Test,7.491646743752686,p_val,0.3795423319408778
frequency,Poisson,Chi-Squared Test,25.853565157727544,p_val,9.52643805133774e-05
Forecast_Model,"ARIMA((1, 0, 1))",AIC,-446.1042887491646,BIC,-436.2868995641506
