time,latent_dim,latent,mu,logvar
1940-01-16 00:00:00,0,-1.1966138,0.0007327534,-0.0022516102
1940-01-16 00:00:00,1,0.500816,0.00254035,-0.00014969707
1940-02-15 00:00:00,0,-0.049831714,-0.0015921779,-0.0035832003
1940-02-15 00:00:00,1,1.1300163,0.0015122145,0.0004954934
1940-03-16 00:00:00,0,-0.15856266,2.0008534e-05,-0.00045513362
1940-03-16 00:00:00,1,0.57684326,0.0012024045,0.003266275
1940-04-15 12:00:00,0,-0.311832,9.892881e-05,-0.0018923879
1940-04-15 12:00:00,1,-0.95987433,0.0012897253,0.00059983134
1940-05-16 00:00:00,0,-0.2529338,0.00030128658,-0.0013463646
1940-05-16 00:00:00,1,-0.26775455,6.0781837e-05,0.00039722025
1940-06-15 12:00:00,0,1.5456685,0.00014303252,-0.00073427707
1940-06-15 12:00:00,1,0.6706585,0.0001551956,0.0010511577
1940-07-16 00:00:00,0,-0.8451603,-0.00068696216,-0.00060246885
1940-07-16 00:00:00,1,-1.1728243,-2.2009015e-05,0.0004529506
1940-08-16 00:00:00,0,0.29698724,-0.00072965026,-0.0010561347
1940-08-16 00:00:00,1,0.43636405,0.00062811375,0.0007482171
1940-09-15 12:00:00,0,0.35687447,0.00096737593,-0.0029404238
1940-09-15 12:00:00,1,0.57362366,0.00014130771,-0.0015370846
1940-10-16 00:00:00,0,-0.4716772,0.000259839,-8.469075e-05
1940-10-16 00:00:00,1,1.0996503,0.00054882467,0.00019490719
1940-11-15 12:00:00,0,0.04660008,0.0009377226,0.00049722195
1940-11-15 12:00:00,1,-0.36509895,-0.00035774708,0.0010090768
1940-12-16 00:00:00,0,-1.1255412,0.0016286485,-0.0041449964
1940-12-16 00:00:00,1,0.39297938,0.0015631169,0.0012302995
1941-01-16 00:00:00,0,-1.2187239,0.00015316904,-0.003406942
1941-01-16 00:00:00,1,1.1653111,0.001262337,0.00020901859
1941-02-14 12:00:00,0,0.050640326,-0.00022509322,-0.0057944804
