time,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
1940-01-16 00:00:00,-0.32696718729953,0.11667486299538207,0.4948698126689699,-0.35198140206936496,-0.2875093521873784,-0.1621471979071822,-0.23504212480872955,-0.0692165425615422,-0.5429358687174946,-0.13515457664847508,-0.38912146965962324
1940-02-15 00:00:00,0.006342655729470348,0.6069869676057271,-0.1569083406193474,0.037229485818319696,0.1680002637619173,-0.40313623756930683,0.28894393556781583,-0.4366597693370623,-0.9092174974399589,0.5552738746201266,0.8381345202731632
1940-03-16 00:00:00,-0.3951061774357872,0.2471995982964253,0.1578014660676166,-0.3762379500677676,0.10215626627163704,0.4779595688525009,-0.41285835701831036,-0.3907038186756059,0.22802293338551283,-0.1821129735461965,-0.8404208665604764
1940-04-15 12:00:00,1.2656844004564185,1.1454479316663713,0.39673092998233983,0.5152007437163819,-0.05750642266608613,-0.5113806973851417,0.30645785753688426,0.21902612387630904,-0.19775175124132904,-0.11217957098918352,0.04824004527517478
1940-05-16 00:00:00,0.2790908689659424,0.9258652383348567,0.4321951276838404,0.7519710897225726,0.9122101156768032,-0.6343746601075423,-0.19781779532906818,1.0482211274735627,0.7249455058605188,-0.03314562580767555,0.34480737265414474
1940-06-15 12:00:00,-0.20928450217967443,0.49051527160051367,0.2718491273671787,-0.03505310724987776,-0.16893888837876014,-0.5808135274839562,0.3241552690212439,0.012910949093458385,-0.3952377717992437,-0.3149080097109933,0.3106234506359419
1940-07-16 00:00:00,-0.0034921844554771653,0.8990885219670066,0.18420743368115386,0.19867184666948828,0.7242868153236821,1.0424551592710998,-0.32800003242034087,-0.45072433265755385,0.5813927873018405,-0.119500426512273,-0.4147696080650431
1940-08-16 00:00:00,-0.2505213895306408,-0.059563288177540086,-0.29174788798386136,0.12882940458969644,0.1893366906484461,-0.3707006604779307,-0.1777644020212138,0.1769871860888011,-0.31434220273124414,-0.8149656830039713,-0.19559686692616002
1940-09-15 12:00:00,0.08649087551931123,-0.03353565681961157,-0.316807515312589,-0.33220002629825973,-0.02799827853481862,-0.009771240979669152,-0.36801965944493364,0.016819120124472647,0.3030144124185915,-0.44125475289717897,0.1733790429419374
1940-10-16 00:00:00,-0.3319250312833485,1.4968292896302535,0.7400128655684072,-0.05009738730540331,1.7210458672672344,1.1923604412388245,-0.7272672811973544,0.19058838739319384,1.174635869120672,0.25875391771956535,-0.01015043701655971
