time,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
1940-01-16 00:00:00,1.1870888676082152,0.35224473959708386,0.015243769178995337,-0.2801172608766307,0.2478965557007557,-0.36180289419038225,0.9753416781004935,-0.4217287801066226,-0.4795478954299485,-0.6002855733553872,0.2087849159551347,0.17482451194059112
1940-02-15 00:00:00,0.3755783334494271,-0.24010552053378664,0.26021656702323437,-0.5931905079133204,-0.30059533731204435,0.19463812049385493,0.1263498878194862,0.35969602091904473,0.01472086511243954,-0.24835432228653365,-0.3629436223892646,-0.4259561825348249
1940-03-16 00:00:00,-0.3962660663337843,0.07136317587100206,-0.6172301085929714,0.7241297545719592,0.3608246517469353,-1.1165038595714756,0.6249808321577578,0.014153899825793827,-0.31830477604249535,-0.5231459628952946,0.3413924608934591,0.4366859002014921
1940-04-15 12:00:00,-0.7813388511215615,-0.41979517016370094,-0.2070883997894147,-0.5427722597298272,-0.2759264318427235,0.11386137624925874,0.009537402914381488,-0.33201929762474014,-0.03069958772559854,0.12690850795316333,-0.013408752962299264,-0.03769368680110574
1940-05-16 00:00:00,-0.08931813436730757,0.44684620666810115,0.39883825713624166,0.5130613128855804,-0.40291021849295483,-0.3858786392315344,0.23068485596113086,-0.4103489970941644,-0.9582729345040285,-0.5740219902014564,0.11450515555030916,-0.2905819203286235
1940-06-15 12:00:00,-0.14578864121138324,0.4616022172452698,-0.5130684958597627,0.11691508672028134,0.4526459431479621,-0.013693460587534845,-0.694965305405506,0.145088324978077,0.6993450018862091,0.07741455620404047,-0.1009554273790434,-0.6149131251008061
1940-07-16 00:00:00,-0.8919872376726949,-0.4521724905656519,0.332250216352063,-1.1464752036094712,0.46632362951332046,-0.22223787805678263,-0.40296187395901223,-1.0367748440300677,-0.13065629886575736,-0.5752556201554353,-0.09311197668721904,0.1044445227338332
1940-08-16 00:00:00,0.4520030389943768,0.3485156601981888,0.11590242047740174,0.13026848996753038,0.10093266860772648,-0.08460907993575761,0.10577642439001472,-0.10678903203353154,-0.9719747934044488,-0.27940274470033305,-0.019313284270461306,0.05930826242688947
1940-09-15 12:00:00,-0.5534451973898784,-0.26227457258364734,-0.520414437746151,-0.29344498327359025,-0.35956304152836516,-0.4293815456567692,-0.13074753148938992,0.3875572005844547,-0.29734799035625814,0.3524412062882334,-0.6312700652779589,0.5429464094112019
1940-10-16 00:00:00,0.06483759309905796,0.188110487139588,-0.015454523317235569,-0.3111860457878056,0.10425633863392664,0.36511904808955864,-0.046644048264960436,0.21551805260977247,0.019812804770429605,-0.0865886018980705,-0.8457243257831715,-0.028018207390369976
