time,latent_dim,latent,mu,logvar
1940-01-16 00:00:00,0,0.945928,0.006005317,-0.0013293475
1940-01-16 00:00:00,1,-0.50945485,0.017301068,0.0029856935
1940-01-16 00:00:00,2,1.0784092,-0.0025374293,-0.0047537684
1940-01-16 00:00:00,3,1.245009,0.00936098,-0.021049276
1940-01-16 00:00:00,4,-0.2645697,-0.008958653,0.002122134
1940-01-16 00:00:00,5,0.5076478,-0.00078856945,-0.0073413104
1940-01-16 00:00:00,6,-1.2790161,-0.014372975,0.0009699911
1940-01-16 00:00:00,7,0.26181716,-0.0122575015,-0.0028489232
1940-02-15 00:00:00,0,0.8518467,0.0067433417,-0.0012399852
1940-02-15 00:00:00,1,-0.31563222,0.02452822,0.0019100234
1940-02-15 00:00:00,2,0.5737709,-0.0019447505,-0.005477071
1940-02-15 00:00:00,3,-2.1245985,0.012660585,-0.02540858
1940-02-15 00:00:00,4,0.7127369,-0.012561262,0.0010434985
1940-02-15 00:00:00,5,0.73283273,0.0008138418,-0.009841859
1940-02-15 00:00:00,6,1.1250341,-0.017943561,-0.0015479326
1940-02-15 00:00:00,7,-0.54765403,-0.015475199,-0.0057368055
1940-03-16 00:00:00,0,0.10843475,0.005099863,-0.0020145476
1940-03-16 00:00:00,1,1.7833132,0.013513058,0.0032894313
1940-03-16 00:00:00,2,0.88997334,-0.0022841692,-0.003815502
1940-03-16 00:00:00,3,-1.6654154,0.0053497627,-0.014286369
1940-03-16 00:00:00,4,0.106769376,-0.007129401,0.002655074
1940-03-16 00:00:00,5,-0.7300179,0.0001848042,-0.0052865
1940-03-16 00:00:00,6,-0.9035698,-0.011003286,0.001367405
1940-03-16 00:00:00,7,-0.018291183,-0.009025112,-0.0015318692
1940-04-15 12:00:00,0,-0.3265359,0.00020802021,0.0019030422
1940-04-15 12:00:00,1,-2.5023828,-0.003744036,-0.00090321153
1940-04-15 12:00:00,2,-1.344685,-0.0017715693,-0.0014189333
1940-04-15 12:00:00,3,-0.9903801,-0.0034858026,-0.00078622997
1940-04-15 12:00:00,4,0.70261365,0.00604631,-0.0005466789
1940-04-15 12:00:00,5,1.0194981,-0.002655983,-0.0014819652
1940-04-15 12:00:00,6,-1.2287765,-0.0018773675,-0.00026130676
1940-04-15 12:00:00,7,0.24105582,0.002134934,0.003945425
1940-05-16 00:00:00,0,-0.28199005,-0.0003734678,0.0010437816
1940-05-16 00:00:00,1,0.97646236,-0.005858749,-0.00085163116
1940-05-16 00:00:00,2,0.34717283,-0.0024631023,-0.0014419854
1940-05-16 00:00:00,3,-0.5322159,-0.0055496767,0.0002811849
1940-05-16 00:00:00,4,0.22412407,0.005226612,0.0017317683
1940-05-16 00:00:00,5,0.76546896,-0.0021184385,-2.066046e-05
1940-05-16 00:00:00,6,-0.1345485,6.839633e-05,0.0017074496
1940-05-16 00:00:00,7,-1.45295,0.0048286915,0.0048013926
1940-06-15 12:00:00,0,-0.7493938,-0.00084641576,0.0015672445
1940-06-15 12:00:00,1,0.17493397,-0.0064031333,-0.0010614693
1940-06-15 12:00:00,2,-0.335466,-0.0021317601,-0.00092329085
1940-06-15 12:00:00,3,-0.7423037,-0.005508557,0.0015856326
1940-06-15 12:00:00,4,1.3969628,0.0064168274,0.000446409
1940-06-15 12:00:00,5,0.37522548,-0.002276197,6.722659e-05
