Model_Component,Model_Fit,Model_Evaluation_1,Evaluation_Value_1,Model_Evaluation_2,Evaluation_Value_2
signal_freq,Expon,KS Test,0.4923481291473928,p_val,2.3649040726250163e-08
signal,Expon,KS Test,0.512924539680143,p_val,5.286453524771157e-12
intensity,Expon,KS Test,0.40400325515206775,p_val,1.9247214781170573e-07
duration,Expon,Chi-Squared Test,9.828839832723203,p_val,0.13204747248890955
frequency,Poisson,Chi-Squared Test,2890.7792242432884,p_val,0.0
Forecast_Model,"ARIMA((2, 0, 2))",AIC,-874.851816054266,BIC,-860.125732276745
