Model_Component,Model_Fit,Model_Evaluation_1,Evaluation_Value_1,Model_Evaluation_2,Evaluation_Value_2
signal_freq,Expon,KS Test,0.31049465860206144,p_val,2.542940539969575e-06
signal,Expon,KS Test,0.3605880958040619,p_val,3.419407138812061e-08
intensity,Expon,KS Test,0.4188908798159312,p_val,5.218495773376748e-11
duration,Expon,Chi-Squared Test,7.491646743752686,p_val,0.3795423319408778
frequency,Poisson,Chi-Squared Test,25.853565157727544,p_val,9.52643805133774e-05
Forecast_Model,"ARIMA((2, 0, 2))",AIC,224.75261068459548,BIC,239.47869446211652
