year,sim,signal,Scale_Sig,Scale_Int,Scale_Dur,Scale_Freq
1990,0,1.231663981276204,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1991,0,2.2730827907869307,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1992,0,2.2716625462994564,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1993,0,4.669101973241052,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1994,0,3.9228636094822047,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1995,0,1.626594618809286,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1996,0,3.5632196757746817,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1997,0,1.9980882304378578,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1998,0,4.557397562563397,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1999,0,4.277915001611284,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
2000,0,0.3463035979701674,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
2001,0,2.620306178773357,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
2002,0,4.556892425827524,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
2003,0,3.143034317668748,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
2004,0,1.6284408404607043,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1990,1,0.2365917244261535,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1991,1,1.309159606196582,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1992,1,4.49092870144097,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1993,1,6.155388993134942,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1994,1,3.369967289671282,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1995,1,1.94124177677795,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1996,1,1.3601057776455536,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1997,1,3.4490467384487977,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1998,1,2.346653157887353,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1999,1,2.604995839790313,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
2000,1,4.971975672452439,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
2001,1,3.403153199946206,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
2002,1,1.4121507304330552,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
2003,1,2.6168713403914117,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
2004,1,5.108511395682989,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1990,2,0.23574497009240236,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1991,2,2.4457052007561746,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1992,2,4.45774659570286,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1993,2,4.007658002375141,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1994,2,3.661065617896538,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1995,2,1.1560374914802412,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1996,2,3.096408852441108,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1997,2,2.2947392955433217,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1998,2,5.150193460479606,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1999,2,2.7371253313025625,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
2000,2,2.4865238680073993,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
2001,2,3.5416373954508127,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
2002,2,2.0211465367971653,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
2003,2,3.7175241928594676,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
2004,2,2.2347196703308274,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1990,3,0.6051756083272557,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1991,3,2.356792640752119,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1992,3,3.070105773544047,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1993,3,4.927791493422209,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
1994,3,3.8586910428527954,2.8828149677535673,51893.333333333336,3.1555555555555554,0.9
