time,latent_dim,latent,alpha,beta,lambda
1940-01-16 00:00:00,0,0.11182741,1.0033808,2.0127819,0.4985045
1940-01-16 00:00:00,1,0.24308386,0.99743414,1.9991977,0.4989172
1940-01-16 00:00:00,2,0.85803443,1.0025475,1.9944797,0.50266117
1940-01-16 00:00:00,3,0.018345201,0.9970624,1.9995815,0.49863553
1940-01-16 00:00:00,4,0.41788468,0.9986343,1.9923472,0.50123507
1940-01-16 00:00:00,5,0.5592268,0.99854964,2.0052392,0.4979703
1940-01-16 00:00:00,6,0.35377458,1.0019008,1.993686,0.5025369
1940-02-15 00:00:00,0,0.10176923,1.0032583,2.0136383,0.49823168
1940-02-15 00:00:00,1,0.15331584,0.9965426,1.9986068,0.49861863
1940-02-15 00:00:00,2,0.9808102,1.0024749,1.9919227,0.50327
1940-02-15 00:00:00,3,0.5903931,0.9961252,1.9981258,0.4985298
1940-02-15 00:00:00,4,0.60089684,0.9983728,1.988551,0.5020604
1940-02-15 00:00:00,5,0.6395014,0.99779373,2.0042405,0.49784133
1940-02-15 00:00:00,6,0.5987991,1.0021137,1.990583,0.50342727
1940-03-16 00:00:00,0,0.03708489,1.0034668,2.012173,0.49869812
1940-03-16 00:00:00,1,0.39626396,0.9980669,1.9996169,0.49912906
1940-03-16 00:00:00,2,0.014296677,1.0025982,1.9962941,0.5022297
1940-03-16 00:00:00,3,0.63877004,0.99772763,2.0006142,0.49871066
1940-03-16 00:00:00,4,0.09992067,0.99881965,1.9950432,0.50065064
1940-03-16 00:00:00,5,1.6884277,0.999086,2.0059464,0.49806216
1940-03-16 00:00:00,6,0.23681857,1.0017493,1.9958887,0.5019064
1940-04-15 12:00:00,0,0.3916894,1.0035115,2.0104158,0.4991562
1940-04-15 12:00:00,1,0.39846838,0.99949074,2.0005267,0.4996138
1940-04-15 12:00:00,2,0.30941162,1.0025624,2.000453,0.5011677
1940-04-15 12:00:00,3,0.39451703,0.9992446,2.0029044,0.4988978
1940-04-15 12:00:00,4,1.3141955,0.9992801,2.0014808,0.49927038
1940-04-15 12:00:00,5,1.0532153,1.0002662,2.0073001,0.4983142
1940-04-15 12:00:00,6,0.42918447,1.001296,2.0009503,0.50041026
1940-05-16 00:00:00,0,1.0950024,1.0024257,2.0041063,0.5001859
1940-05-16 00:00:00,1,0.79499924,1.001136,2.0007653,0.5003765
1940-05-16 00:00:00,2,0.015943257,1.0014067,2.0055425,0.49931958
1940-05-16 00:00:00,3,0.17140843,1.0013943,2.0054915,0.4993261
1940-05-16 00:00:00,4,0.036144987,0.99992394,2.0117362,0.49704528
1940-05-16 00:00:00,5,0.36630175,1.0015281,2.0068512,0.49905452
1940-05-16 00:00:00,6,1.0038025,0.999634,2.007704,0.49789912
1940-06-15 12:00:00,0,0.1065855,1.0029213,2.007171,0.49966913
1940-06-15 12:00:00,1,0.10776295,1.0003384,2.0007133,0.49999088
1940-06-15 12:00:00,2,0.25224984,1.0019356,2.0030951,0.5001937
1940-06-15 12:00:00,3,0.26126894,1.0003384,2.0041912,0.49912328
1940-06-15 12:00:00,4,0.0017111872,0.9996774,2.0067868,0.4981483
1940-06-15 12:00:00,5,0.03483863,1.000884,2.007064,0.49868065
1940-06-15 12:00:00,6,1.1421369,1.00044,2.0044131,0.49911866
1940-07-16 00:00:00,0,0.6384504,0.9970502,1.9844725,0.5024258
1940-07-16 00:00:00,1,0.014847284,0.9979365,1.9928671,0.5007542
1940-07-16 00:00:00,2,0.17629902,0.9964751,1.9952497,0.49942374
1940-07-16 00:00:00,3,0.5697206,1.0005691,2.0001369,0.50025034
1940-07-16 00:00:00,4,0.11134069,0.9980639,2.0085564,0.4969061
1940-07-16 00:00:00,5,0.25554302,0.99864835,1.9938114,0.50087404
1940-07-16 00:00:00,6,0.33616692,0.9951396,1.9993755,0.49772522
1940-08-16 00:00:00,0,0.16978693,0.99248403,1.9684577,0.5041937
1940-08-16 00:00:00,1,0.385526,0.9941081,1.9844764,0.50094223
1940-08-16 00:00:00,2,0.17358509,0.9924957,1.9821155,0.50072545
1940-08-16 00:00:00,3,1.078448,0.9988485,1.9937336,0.50099397
1940-08-16 00:00:00,4,0.0098664835,0.9953293,1.9998428,0.4977038
1940-08-16 00:00:00,5,2.5264328,0.995388,1.9814608,0.50235057
1940-08-16 00:00:00,6,0.5879992,0.99176735,1.9876726,0.49895912
1940-09-15 12:00:00,0,0.03110828,1.0034877,2.0095487,0.49935976
1940-09-15 12:00:00,1,1.0244257,1.0000788,2.000878,0.49981996
1940-09-15 12:00:00,2,1.0099144,1.0025225,2.002144,0.50072443
1940-09-15 12:00:00,3,0.04106846,0.9998764,2.0038288,0.49898294
1940-09-15 12:00:00,4,0.10442835,0.999485,2.0041716,0.49870232
1940-09-15 12:00:00,5,0.2175439,1.0007414,2.007813,0.4984236
1940-09-15 12:00:00,6,0.029770052,1.0010766,2.0030274,0.49978176
1940-10-16 00:00:00,0,1.3807443,1.0036376,2.0102992,0.49924785
1940-10-16 00:00:00,1,0.059081618,0.9998413,2.0007806,0.4997256
1940-10-16 00:00:00,2,0.16064745,1.002669,2.0014205,0.50097865
1940-10-16 00:00:00,3,0.8556946,0.9995997,2.0034938,0.49892828
1940-10-16 00:00:00,4,0.42001298,0.9993584,2.0027823,0.49898502
1940-10-16 00:00:00,5,0.34595376,1.0005783,2.0078173,0.49834132
1940-10-16 00:00:00,6,0.45752937,1.0012748,2.002115,0.50010854
1940-11-15 12:00:00,0,0.014620576,1.0034178,2.0091727,0.49941844
1940-11-15 12:00:00,1,1.5291723,1.0001775,2.0009034,0.49986297
1940-11-15 12:00:00,2,0.21554989,1.002423,2.0025206,0.50058067
1940-11-15 12:00:00,3,0.7130226,1.0000104,2.0040233,0.49900135
1940-11-15 12:00:00,4,0.27331418,0.99951744,2.0049222,0.4985318
1940-11-15 12:00:00,5,0.4371974,1.0008354,2.0077531,0.4984853
1940-11-15 12:00:00,6,0.33310342,1.000961,2.0035205,0.49960107
1940-12-16 00:00:00,0,0.29651758,1.0033442,2.0130405,0.49842224
1940-12-16 00:00:00,1,0.6625551,0.9971653,1.9990199,0.49882713
1940-12-16 00:00:00,2,0.13444781,1.0025259,1.9937087,0.50284475
1940-12-16 00:00:00,3,1.1010518,0.9967798,1.9991429,0.49860358
1940-12-16 00:00:00,4,1.5605683,0.99855566,1.9912024,0.5014838
1940-12-16 00:00:00,5,0.40430343,0.99832183,2.0049388,0.4979313
1940-12-16 00:00:00,6,0.07362234,1.001965,1.9927506,0.50280505
1941-01-16 00:00:00,0,0.2868949,1.0035195,2.01181,0.49881425
1941-01-16 00:00:00,1,0.03819536,0.998446,1.9998685,0.4992558
1941-01-16 00:00:00,2,0.6961069,1.0026294,1.9973817,0.50197184
1941-01-16 00:00:00,3,0.17567083,0.9981261,2.0012336,0.49875543
1941-01-16 00:00:00,4,0.12933725,0.99893117,1.9966577,0.50030166
1941-01-16 00:00:00,5,1.0061677,0.99940765,2.0063727,0.49811664
1941-01-16 00:00:00,6,0.3751961,1.0016592,1.9972091,0.50152946
1941-02-14 12:00:00,0,0.53667456,1.0033759,2.0128202,0.49849254
1941-02-14 12:00:00,1,0.51136166,0.99739486,1.999172,0.498904
1941-02-14 12:00:00,2,0.08442476,1.0025448,1.994367,0.5026882
1941-02-14 12:00:00,3,0.08054827,0.9970212,1.9995177,0.49863085
1941-02-14 12:00:00,4,0.44824952,0.998623,1.9921795,0.5012716
1941-02-14 12:00:00,5,1.423359,0.99851656,2.0051963,0.49796447
1941-02-14 12:00:00,6,0.6594455,1.0019104,1.9935498,0.50257605
1941-03-16 00:00:00,0,1.989144,1.0037384,2.0102575,0.49930838
1941-03-16 00:00:00,1,0.35794032,1.0000601,2.000937,0.49979588
1941-03-16 00:00:00,2,0.2863721,1.002758,2.0020103,0.50087553
1941-03-16 00:00:00,3,0.55996656,0.9998229,2.0038671,0.4989467
1941-03-16 00:00:00,4,0.12714544,0.99940467,2.0035386,0.49881977
1941-03-16 00:00:00,5,0.8203228,1.0007758,2.0081756,0.49835074
1941-03-16 00:00:00,6,0.019063082,1.0012727,2.0028284,0.49992934
1941-04-15 12:00:00,0,1.120701,1.0037819,2.009949,0.49940667
1941-04-15 12:00:00,1,0.27892628,1.0003805,2.001149,0.49990308
