time,latent_dim,latent,mu,logvar
1940-01-16 00:00:00,0,-0.1694013,-0.0008779429,0.0006853044
1940-01-16 00:00:00,1,0.13112286,-0.004776582,0.004154891
1940-01-16 00:00:00,2,-0.57542616,-0.01184766,-0.0038607642
1940-01-16 00:00:00,3,-1.0841943,-0.010085143,-0.0003799796
1940-01-16 00:00:00,4,-0.70977634,-0.010884821,0.0017719939
1940-01-16 00:00:00,5,0.05548423,-0.0030283332,-0.0028650612
1940-02-15 00:00:00,0,-1.3613156,-0.0013077334,0.0035761595
1940-02-15 00:00:00,1,-0.05325643,-0.0063013434,0.0074577928
1940-02-15 00:00:00,2,1.1522661,-0.017037645,-0.004033491
1940-02-15 00:00:00,3,1.6029421,-0.010973878,-0.0015386641
1940-02-15 00:00:00,4,0.0055733155,-0.01254867,0.0015743449
1940-02-15 00:00:00,5,-1.4388993,-0.0048104674,-0.0026381165
1940-03-16 00:00:00,0,-0.3842732,-0.0030675754,0.00048151612
1940-03-16 00:00:00,1,-1.4000907,-0.002319947,0.0020728707
1940-03-16 00:00:00,2,-0.36489275,-0.0064101517,-0.0029538795
1940-03-16 00:00:00,3,-1.0840462,-0.0063007623,0.0019292235
1940-03-16 00:00:00,4,0.45387876,-0.010513037,0.0009354651
1940-03-16 00:00:00,5,-0.51019126,-0.0022488087,-0.002725292
1940-04-15 12:00:00,0,0.2719043,-0.0001928173,-0.00045073032
1940-04-15 12:00:00,1,-2.3124137,0.0027438551,-0.0024809837
1940-04-15 12:00:00,2,-2.2080762,0.0011502951,-0.005003728
1940-04-15 12:00:00,3,-0.37950873,0.0040402636,-0.0024149716
1940-04-15 12:00:00,4,0.23529612,0.00034731627,-0.00029862672
1940-04-15 12:00:00,5,-0.37020406,0.0006314516,-0.0017681681
1940-05-16 00:00:00,0,-0.94011354,0.00017052889,0.0002810061
1940-05-16 00:00:00,1,-0.5054238,0.0021791756,-0.0023673773
1940-05-16 00:00:00,2,1.7085385,0.0036105067,-0.0043717846
1940-05-16 00:00:00,3,0.7763446,0.0049347803,-0.0006430149
1940-05-16 00:00:00,4,-1.075516,-0.000795424,-7.483363e-05
1940-05-16 00:00:00,5,1.3603101,0.0014227182,-0.0028756484
1940-06-15 12:00:00,0,0.04422563,0.00057574734,-0.000842005
1940-06-15 12:00:00,1,-1.3076069,0.0029506981,-0.0027103722
1940-06-15 12:00:00,2,0.00042282557,0.00351955,-0.004281029
1940-06-15 12:00:00,3,1.3740313,0.0058689564,-0.00067576766
1940-06-15 12:00:00,4,0.34028623,0.0007504225,0.0004132688
1940-06-15 12:00:00,5,0.42915,0.0009111315,-0.0026238225
1940-07-16 00:00:00,0,1.4701841,0.00072752684,7.519126e-05
1940-07-16 00:00:00,1,-0.067450956,0.0028585196,-0.002402097
1940-07-16 00:00:00,2,0.6213785,0.0050543994,-0.0033703223
1940-07-16 00:00:00,3,0.6907501,0.006561868,0.00038275123
1940-07-16 00:00:00,4,-0.6779845,0.00019577146,0.00071911514
1940-07-16 00:00:00,5,-1.6985499,0.0009714663,-0.003700994
1940-08-16 00:00:00,0,-0.17312033,0.0007456355,1.9609928e-05
1940-08-16 00:00:00,1,0.4314919,0.0025977641,-0.002521485
1940-08-16 00:00:00,2,0.4248095,0.0049224496,-0.0036718398
1940-08-16 00:00:00,3,0.30153272,0.0063430145,-5.0246716e-05
1940-08-16 00:00:00,4,-1.3911414,0.00046902895,0.0004948452
1940-08-16 00:00:00,5,-0.15091279,0.0013043135,-0.0034273975
1940-09-15 12:00:00,0,1.1324593,-0.00036404282,-1.898408e-05
1940-09-15 12:00:00,1,-1.1354878,0.00401628,-0.0022564828
1940-09-15 12:00:00,2,0.2881639,0.0027065575,-0.0057411864
1940-09-15 12:00:00,3,-0.19047628,0.0054636598,-0.0011022687
1940-09-15 12:00:00,4,0.24507254,0.00025242567,-0.0016145483
1940-09-15 12:00:00,5,0.29809347,0.0013857484,-0.0021718964
1940-10-16 00:00:00,0,-0.10186185,-0.0005415827,-0.0010484457
1940-10-16 00:00:00,1,-0.66243505,0.0016409904,-0.0011414886
1940-10-16 00:00:00,2,0.77779824,0.0007596761,-0.003902696
1940-10-16 00:00:00,3,0.23007473,0.00259801,4.5359135e-05
1940-10-16 00:00:00,4,-0.3317541,-0.0013260841,0.0005173981
1940-10-16 00:00:00,5,0.53769445,-0.00056806207,-0.0025219098
1940-11-15 12:00:00,0,-2.4395797,-0.00016480684,-0.0003875494
1940-11-15 12:00:00,1,0.23161778,0.002256021,-0.0024696887
1940-11-15 12:00:00,2,-0.03506694,0.002901271,-0.003523238
