time,PC1,PC2
1940-01-16 00:00:00,-0.14370515478742746,-0.2922579382676279
1940-02-15 00:00:00,-0.12049234499452843,-0.490467906543913
1940-03-16 00:00:00,-0.4146986817908986,-0.4308005197568243
1940-04-15 12:00:00,-0.37598722381219934,0.5339560569860214
1940-05-16 00:00:00,0.07632079564231936,-0.23265280533551402
1940-06-15 12:00:00,-0.3615966915819854,-0.40913814417464534
1940-07-16 00:00:00,0.03444604943465107,-0.08673863110493879
1940-08-16 00:00:00,-0.4123284521953354,-0.09531796717943974
1940-09-15 12:00:00,0.6349672658518126,-0.047528484501673074
1940-10-16 00:00:00,-0.3752553580950277,-0.3885432859231521
1940-11-15 12:00:00,-0.5120094195032695,0.11262867268414278
1940-12-16 00:00:00,-0.15067629999963011,-0.35690722348999815
1941-01-16 00:00:00,-0.28995377268664185,0.8727575660882182
1941-02-14 12:00:00,-0.465584958062226,-0.40399296003665136
1941-03-16 00:00:00,0.7809942688386691,0.052088640916015394
1941-04-15 12:00:00,-0.4957487712285835,0.1764623222008036
1941-05-16 00:00:00,-0.2607081957172478,-0.49120977089614276
1941-06-15 12:00:00,-0.49294869310269696,0.05170754644747144
1941-07-16 00:00:00,0.08164235085828703,-0.3719929818152477
1941-08-16 00:00:00,-0.26349577760004983,0.1220164253679542
1941-09-15 12:00:00,-0.5036428501979732,0.42380140849522296
1941-10-16 00:00:00,-0.07269156825850781,-0.11281224886065933
1941-11-15 12:00:00,-0.347694332900536,0.3004660419255165
1941-12-16 00:00:00,0.39734036098014675,0.8185233549832781
1942-01-16 00:00:00,-0.4140876388862775,1.595023967617041
1942-02-14 12:00:00,-0.3101990408264007,0.42010277940858687
1942-03-16 00:00:00,0.6277692172429254,-0.11893920907807687
1942-04-15 12:00:00,0.04939217373841026,-0.21751578003351685
1942-05-16 00:00:00,-0.3199080744367809,-0.20101751203743273
1942-06-15 12:00:00,-0.40636838548320925,-0.12789568992260747
1942-07-16 00:00:00,0.36237472926731223,-0.23117703443164211
1942-08-16 00:00:00,0.3339989856456744,-0.14925756033027793
1942-09-15 12:00:00,1.4072940048069715,0.7234082509296024
1942-10-16 00:00:00,-0.16743190638645689,-0.45092662264004973
1942-11-15 12:00:00,0.44053737588775194,-0.16305105189881075
1942-12-16 00:00:00,-0.2365358498219654,-0.43435239169145357
1943-01-16 00:00:00,1.8800225280380602,0.15668844400899062
1943-02-14 12:00:00,-0.3879184809141538,1.9369438861054054
1943-03-16 00:00:00,-0.4804028512774772,0.014193965617821047
1943-04-15 12:00:00,-0.04047183796742815,0.015949380168186256
1943-05-16 00:00:00,-0.01423338507782923,-0.23680361805158012
1943-06-15 12:00:00,-0.4497436423377532,-0.2674315175397389
1943-07-16 00:00:00,-0.12210731496687094,0.0008454315679878865
1943-08-16 00:00:00,-0.08609744031770528,-0.1528296601536619
1943-09-15 12:00:00,0.19945636212259205,-0.17581535751375355
1943-10-16 00:00:00,-0.15064943971657885,0.7075432460435435
1943-11-15 12:00:00,-0.28913612369626585,0.007562107657915873
1943-12-16 00:00:00,-0.2759477383253062,-0.3955946967602253
1944-01-16 00:00:00,-0.33993938090248815,-0.46782419181783164
1944-02-15 00:00:00,1.767327500340658,-0.3737396081507403
1944-03-16 00:00:00,0.2878831096461249,-0.3367657904722686
1944-04-15 12:00:00,0.041088730569922294,-0.37605825932898096
1944-05-16 00:00:00,-0.2831808615533826,0.46231976306151923
1944-06-15 12:00:00,0.17466314307545544,-0.3353304238410231
1944-07-16 00:00:00,-0.1526534055046153,1.178600939228875
1944-08-16 00:00:00,-0.18908789546163274,-0.44787505056098825
1944-09-15 12:00:00,-0.3403477079277426,0.34620729997115873
1944-10-16 00:00:00,-0.244182441313502,-0.25016727047438403
1944-11-15 12:00:00,0.803530757452446,-0.1871878069787482
1944-12-16 00:00:00,0.5776457336198118,-0.26575520046722984
1945-01-16 00:00:00,0.8447984313522452,0.25006006327175245
1945-02-14 12:00:00,-0.40127102376530077,-0.46272537119876683
1945-03-16 00:00:00,0.531451018659622,-0.17112008519663008
1945-04-15 12:00:00,-0.17650970870528904,-0.2742943760102189
