time,latent_dim,latent,alpha,beta,lambda
1940-01-16 00:00:00,0,0.16432373,1.0059568,1.996088,0.5039641
1940-01-16 00:00:00,1,0.2743497,0.9973794,2.000097,0.4986655
1940-01-16 00:00:00,2,1.0223593,1.0014955,2.008007,0.49875098
1940-01-16 00:00:00,3,1.3712877,1.0031731,2.0008538,0.5013725
1940-01-16 00:00:00,4,1.2833575,0.99935085,1.9939051,0.5012028
1940-01-16 00:00:00,5,0.52918094,1.0001451,2.0089388,0.49784747
1940-02-15 00:00:00,0,0.7272515,1.0059966,1.9960556,0.50399226
1940-02-15 00:00:00,1,0.98400474,0.99736536,2.0000126,0.49867952
1940-02-15 00:00:00,2,0.21876094,1.0014876,2.0079587,0.4987591
1940-02-15 00:00:00,3,0.583563,1.0031604,2.000893,0.5013563
1940-02-15 00:00:00,4,0.16081437,0.99935275,1.9938251,0.50122386
1940-02-15 00:00:00,5,1.3217659,1.0001378,2.008962,0.4978381
1940-03-16 00:00:00,0,0.42963055,1.0047082,1.9981551,0.5028179
1940-03-16 00:00:00,1,0.15087874,0.9981231,2.002579,0.49841884
1940-03-16 00:00:00,2,1.781467,1.0021876,2.0087986,0.498899
1940-03-16 00:00:00,3,0.104252346,1.0029162,1.9999152,0.5014794
1940-03-16 00:00:00,4,0.8131877,1.0000278,1.9960868,0.50099415
1940-03-16 00:00:00,5,1.3344598,1.0010642,2.0082285,0.4984812
1940-04-15 12:00:00,0,0.60008323,1.0022137,2.0027084,0.50042915
1940-04-15 12:00:00,1,0.06338599,1.0000497,2.0069656,0.4982894
1940-04-15 12:00:00,2,1.3548143,1.0029492,2.009549,0.49909174
1940-04-15 12:00:00,3,0.8599967,1.0022975,1.9987818,0.5014542
1940-04-15 12:00:00,4,0.36799258,1.0015726,2.001417,0.5004318
1940-04-15 12:00:00,5,0.043359775,1.0028819,2.0066516,0.49977878
1940-05-16 00:00:00,0,0.097880006,0.998494,2.0082629,0.4971929
1940-05-16 00:00:00,1,0.15621875,1.002918,2.0089068,0.4992357
1940-05-16 00:00:00,2,0.017372971,1.0014353,2.0046353,0.49955982
1940-05-16 00:00:00,3,0.12471602,1.0006448,1.9983284,0.5007409
1940-05-16 00:00:00,4,0.09426403,1.0038526,2.0097728,0.4994856
1940-05-16 00:00:00,5,0.2063799,1.0047331,2.0020235,0.5018588
1940-06-15 12:00:00,0,0.44909322,0.9997157,2.0065622,0.49822313
1940-06-15 12:00:00,1,0.41871086,1.0021001,2.009074,0.49878708
1940-06-15 12:00:00,2,0.40376708,1.0020542,2.0074666,0.4991636
1940-06-15 12:00:00,3,1.0721563,1.0015556,1.9985392,0.5011438
1940-06-15 12:00:00,4,0.85281897,1.0029532,2.0075474,0.4995913
1940-06-15 12:00:00,5,0.46330643,1.0040565,2.003995,0.50102746
1940-07-16 00:00:00,0,0.48579466,0.9948301,1.9983728,0.49782005
1940-07-16 00:00:00,1,0.100523636,0.99965525,1.9939078,0.5013548
1940-07-16 00:00:00,2,0.39759067,0.99158424,1.9810759,0.50052816
1940-07-16 00:00:00,3,0.3493514,0.9991781,1.9934227,0.50123745
1940-07-16 00:00:00,4,0.3928061,1.0014784,2.008509,0.49861786
1940-07-16 00:00:00,5,0.3452846,1.000149,1.9885137,0.5029631
1940-08-16 00:00:00,0,0.20708294,0.99268717,1.988041,0.4993293
1940-08-16 00:00:00,1,0.6793488,0.99502295,1.9810112,0.50228035
1940-08-16 00:00:00,2,0.15766881,0.9855721,1.9620881,0.5023078
1940-08-16 00:00:00,3,0.44319212,0.99736685,1.9865887,0.50205
1940-08-16 00:00:00,4,0.02665304,0.9993784,2.001324,0.49935862
1940-08-16 00:00:00,5,0.051695157,0.9968727,1.978247,0.5039172
1940-09-15 12:00:00,0,0.015644949,1.0019177,2.0029533,0.50022024
1940-09-15 12:00:00,1,0.3242842,1.0003613,2.0071838,0.4983905
1940-09-15 12:00:00,2,0.7038543,1.0024883,2.0094755,0.49888057
1940-09-15 12:00:00,3,1.0082684,1.002468,1.998927,0.50150305
1940-09-15 12:00:00,4,0.45481163,1.0015297,2.0026383,0.50010514
1940-09-15 12:00:00,5,1.4296266,1.0027648,2.0063727,0.4997899
1940-10-16 00:00:00,0,0.07951576,1.0022067,2.002646,0.50044125
1940-10-16 00:00:00,1,0.46414307,0.99989027,2.0072746,0.49813327
1940-10-16 00:00:00,2,0.04575094,1.0032918,2.009922,0.49916953
