time,PC1,PC2,PC3,PC4,PC5,PC6
1940-01-16 00:00:00,-0.14199866510443834,-0.304723415280008,0.3598042309745748,1.2397219880410262,0.1999029546581954,0.03806350933762337
1940-02-15 00:00:00,0.8211428275733803,0.17849900883888437,-0.3919019531390604,-0.20743390973175008,0.17960753784686412,0.43073734984905576
1940-03-16 00:00:00,0.47818295789244725,0.2557896230316372,1.4886773854590816,0.17156985460737395,0.272083448572334,0.17025974220835716
1940-04-15 12:00:00,-0.5511596491703092,0.29947180047086086,0.5745881909438059,0.5017592964744757,-0.5334909602620668,0.17662647678386012
1940-05-16 00:00:00,-0.16199659198067395,-0.45823404846221216,-0.17063907795639666,-0.5494292219974114,-0.4536141157394228,-0.3705558823112006
1940-06-15 12:00:00,-0.06183251644783977,-0.13670742332931385,-0.21684217401926786,0.6331997123844149,0.0763028697516468,-0.07790760669427665
1940-07-16 00:00:00,-0.12992340333649632,-0.02285195456820166,0.05421293608928479,-0.12729406867421167,-0.26270995226920835,-0.3353282269991346
1940-08-16 00:00:00,-0.34644593641594906,-0.35307216441233963,-0.4108996444976416,-0.3825955803978358,-0.34298804522638676,0.17011183505697947
1940-09-15 12:00:00,0.8871822779385365,-0.3917094674954848,0.2896180515228455,0.5138152295497016,-0.1421810104002642,0.23668319353807477
1940-10-16 00:00:00,-0.004473754847542422,-0.5794572039745345,-0.273462343717223,0.23939427596074236,0.26290316582745654,-0.2986898435575213
1940-11-15 12:00:00,0.3946460148234574,0.2793242700198102,-0.5504708264207111,-0.2232629148192508,-0.01660478297458967,0.32729163970628694
1940-12-16 00:00:00,-0.2588357253899123,-0.1763743639373348,-0.2121197012759703,-0.522534135148542,-0.046478003247858,-0.19051129551838475
1941-01-16 00:00:00,-0.4700369439866845,-0.005945141686471422,0.9068706277533287,-0.29089911330028145,-0.47514651944500463,0.08994835456209405
1941-02-14 12:00:00,-0.3489826627777016,0.15179198349163525,-0.42661449408722696,-0.2834569157035276,0.2984125971656718,1.014675915896972
1941-03-16 00:00:00,-0.49163191659958927,-0.32567907701253307,0.18460381298225623,-0.37423252482510627,-0.25128052197358497,0.07532360545536532
1941-04-15 12:00:00,-0.20781305516185297,-0.0710265414610462,0.18413758538040184,0.2711280671469509,0.20092963017050225,-0.3127035863897829
1941-05-16 00:00:00,-0.2962270889848844,-0.5387712394708296,0.032440397397752424,-0.15069207573146803,0.2537935601736381,-0.14575183519061324
1941-06-15 12:00:00,-0.21363656927466518,-0.2720988022446412,0.5340324329872107,-0.0436182595274921,0.15740801809523053,-0.46539649038470665
1941-07-16 00:00:00,-0.40336313917488154,-0.2873195401781993,-0.3354349850343364,-0.09307260389018945,-0.19081806675265156,0.6268751117421621
1941-08-16 00:00:00,0.8372697651290277,0.9201017079764526,0.09548943142414551,-0.1632778183663719,0.6910168284673596,0.36213604358602824
1941-09-15 12:00:00,-0.2734884071446746,-0.13181735662659344,0.4513848894100222,-0.34245796919223376,-0.376841622520345,0.23876933694343516
1941-10-16 00:00:00,0.020019827171547377,-0.19453614138136038,-0.33506885294402045,0.565044948335383,-0.21276631298852583,-0.3068534728663497
1941-11-15 12:00:00,-0.04129253360884633,-0.14998838499750455,-0.06953893054422067,0.5373775766694384,0.391708740341172,-0.39128752867160455
1941-12-16 00:00:00,-0.5615718085080591,-0.42959951667482155,0.1894339506507938,0.23968522870944053,0.5630449022236524,-0.6709617860346814
1942-01-16 00:00:00,-0.3395549516773687,1.1051830335821025,0.020550393131050226,-0.3225264299152828,-0.38076341452743484,-0.3124122540687355
1942-02-14 12:00:00,-0.137571121993797,-0.22108853417064978,-0.6128783844263133,0.2893148126233126,-0.5184371533388746,-0.10838368077351135
1942-03-16 00:00:00,-0.1528647456780941,-0.4547763105877769,-0.1774487231830308,0.32600810391693313,-0.4516141738226231,-0.30494657891581756
1942-04-15 12:00:00,0.18507765775677476,-0.43336632376523787,0.17278660791883185,0.1362056584328848,-0.10287628985981989,-0.4482591511537659
1942-05-16 00:00:00,0.43189634675338173,-0.3237578157657002,0.05888708110783175,-0.6690331245381957,0.09861839784644555,0.34630118598939197
1942-06-15 12:00:00,0.43833636086825345,-0.22068937784499532,0.07578252053699616,0.03647709385562159,0.14442109942423798,-0.32561927390004014
1942-07-16 00:00:00,0.04344231724376196,-0.3651100326933008,-0.7029264832839645,0.7728635930620416,-0.5315078204623379,0.45374890338235285
1942-08-16 00:00:00,-0.10386427253745689,-0.5317354904240532,-0.016853871676728943,0.22734417543284635,-0.1443070660953863,-0.5035561670698645
1942-09-15 12:00:00,-0.4681195552091224,1.2697369340626083,-0.6354986770178725,-0.4315609211119278,-0.051302706390796926,0.0500369241852614
1942-10-16 00:00:00,-0.22731533300573264,-0.3160000203723854,-0.08227337749885855,0.31672372694901463,0.5220767361360462,0.8065695248110848
1942-11-15 12:00:00,0.4709651085051406,-0.5354880419248456,-0.1627894472150361,-0.08058726402527527,0.0979412294408637,0.04704506571946376
1942-12-16 00:00:00,-0.38414742965712295,0.1333328081487115,-0.363434820075013,-0.5989857615491151,0.2162281037345699,0.9059765229074282
1943-01-16 00:00:00,-0.1560979992846236,-0.27930975828718624,-0.10138905468292168,-0.7095855647516311,-0.20666797533145276,0.11993718268529385
1943-02-14 12:00:00,0.3962231911155104,-0.15556238022526414,-0.952129921944195,0.046562898930230245,0.7515850277230104,1.039487503614918
1943-03-16 00:00:00,0.10368391413097777,-0.27263070853059274,0.5667709746256646,-0.06278763957580613,0.8474864884448879,0.5288378955207448
1943-04-15 12:00:00,2.0803067005408593,0.07160078841750683,0.26054852176389853,-0.4429075774631477,0.3605791107689309,0.2915984432157678
1943-05-16 00:00:00,0.48917619142919677,0.8512567263185702,-0.6581710194367696,0.04949880847595989,0.11376993788523326,-0.07221399156638592
1943-06-15 12:00:00,-0.15244620320117136,-0.047744852470880395,0.9376608799195547,-0.4428026543751895,-0.16007262465342753,0.8203938434084449
1943-07-16 00:00:00,-0.17917425167000928,-0.03651995944108688,-0.4909082256201103,0.5512184711492738,0.6530782971548236,0.2376683957462512
1943-08-16 00:00:00,-0.39516956722683066,0.11219685112358602,0.4097594003805449,0.19878349283682195,0.30131925008155147,0.08785188028269975
1943-09-15 12:00:00,0.7093394820057168,0.23305404183534617,-0.34130842211403606,0.6827167677080288,0.04977495929985076,0.1977764524726976
1943-10-16 00:00:00,0.48953001491371595,-0.5345360821969177,0.0191807899125033,0.4031335447035329,0.6797457135525499,-0.2611111500682481
1943-11-15 12:00:00,0.5380796710588389,-0.45848454482781276,0.06222259125176138,-0.2399511881446068,0.5366457410173539,-0.5365198444250162
1943-12-16 00:00:00,-0.30156060304097493,-0.3466576410023029,0.13186360794259586,-0.42749572239400735,-0.24511533319122208,-0.5207830534648792
1944-01-16 00:00:00,-0.23289819209724014,-0.10896479012210103,-0.18388380776553764,-0.09725535072857083,-0.22429007216954344,-0.3151926774038555
1944-02-15 00:00:00,1.5351348641471927,2.512796329142843,-0.874915674619984,0.5414542032491787,0.12585658512431053,-0.46771740855332355
1944-03-16 00:00:00,-0.4738019440170012,-0.12745404911363228,-0.056119832012563625,-0.09111264222181703,0.15472497599857238,-0.6726706284816575
1944-04-15 12:00:00,-0.13011550161298066,-0.3318305484111738,0.24006970247904977,-0.33967442877951864,0.011944994289052269,0.8086282684435496
1944-05-16 00:00:00,-0.17304377733594067,0.1838057779143798,-0.7080048856499287,-0.7625992138457223,0.8284537314724102,0.7468882301684411
1944-06-15 12:00:00,-0.388403964815422,0.01670201154228501,0.6720347676352523,-0.055089842341234374,0.07831767739292483,-0.26916358762056086
1944-07-16 00:00:00,1.4943995736080993,0.4287858771220997,-0.17175127385440003,-0.559468317191656,0.24710429435261805,0.010822171800129787
1944-08-16 00:00:00,0.6439676211119281,-0.06262990515290057,1.2377246063821838,-0.08833597938719817,-0.1799874856657676,0.8190336921276627
1944-09-15 12:00:00,-0.5884220145144304,-0.5882066028501461,-0.7741420324762323,-0.7300834030436156,0.6579313343404257,1.4162232263561343
1944-10-16 00:00:00,0.42068568231472014,-0.26439976144378147,-0.1088660105934324,-0.6914814505620459,0.2657179790801214,0.5015697922046123
1944-11-15 12:00:00,-0.32301882812608984,0.21654901979900798,-0.014946557782183761,-0.05494886791656095,0.3188602766173886,-0.3506354519826439
1944-12-16 00:00:00,-0.4873068638293177,1.0571085033373053,-0.3224932908231052,-0.2589292393496451,0.5188344573989253,-0.5795968753559679
1945-01-16 00:00:00,-0.3746027131599771,2.8503145456340775,-0.6116532337269072,0.20583281892226735,-0.36374605425457146,-0.24328734415233785
1945-02-14 12:00:00,-0.14573175964309912,-0.551035096093326,-0.03384156087092931,0.12071956393737082,0.5502351811121823,-0.6613697252510684
1945-03-16 00:00:00,-0.028380822883355084,0.0024889052457985894,-0.12868314279576135,-0.25061643087622604,0.40693115325430174,-0.385042758999003
1945-04-15 12:00:00,-0.320163089153353,-0.308688135328552,0.10428381085982874,1.5731537990534665,0.24744430929555394,-0.22082718973137205
1945-05-16 00:00:00,0.9089689644701713,0.2913427532290589,-0.13277570616602008,-0.4276831170584178,0.0943184587935968,0.04919566196956393
1945-06-15 12:00:00,-0.43921747430108543,-0.093798589012771,0.05314105164538718,-0.33821625813747885,0.15117950147337478,1.17488638997404
1945-07-16 00:00:00,-0.3640094648684026,0.5190292628283291,-0.39693883765473126,0.4161840197527109,0.19311858728169295,-0.2504733619145319
