time,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
1940-01-16 00:00:00,-0.13117178249406064,0.16626085667184404,-0.7143198036733874,0.5771692530663999,1.1102631998499946,0.3714273809592513,0.3982849849296389,-0.6176622599057086,0.024646007146270993,-0.5625009345190729,-0.5542506111716595,-0.3998774608910784,-0.3079161675090957,-0.4425639317112975,-0.10419639460192853
1940-02-15 00:00:00,-0.4590651497226196,-0.3930181367407223,0.4583951057049538,0.059354001776421556,0.1619947558840985,-0.41867435646691614,0.9835165294250034,-0.2542754781363509,-0.5089871074687207,-0.5284996027609334,-0.8031412552757123,-0.548846847777694,0.15888614655594507,-0.0820244613296841,0.14015850398375918
1940-03-16 00:00:00,-0.4954337973774452,-0.17276129512487817,-0.2040312005421456,-0.335309323095476,-0.06217306434697001,-0.48136905163460114,-0.6603209456378366,-0.13403904259805122,-0.08721559792645778,0.2733165055216084,0.13967771790723063,0.009025330997667003,-0.010425261372107045,0.019188242525160826,0.0920750811868134
1940-04-15 12:00:00,-0.23174403411983577,0.1800570753773478,0.004782717511802814,0.6254067726775444,-0.318130642289159,0.29171143429917834,0.20127115594977923,0.18850648474653675,0.4734744983322804,0.3165519913039249,-0.18871002038568555,0.20165914959903725,-0.7438982039288448,-0.23541833585886218,-0.5933437456609962
1940-05-16 00:00:00,-0.5083299864959521,0.41228844514212293,-0.2560267327966528,-0.12803469643174514,-0.45891642044636977,0.6219766779244481,0.03260887542473384,-0.4763419581975188,-0.4285136017668888,0.4936545193799385,-0.6292951906590359,-0.23091590059870049,0.3718373823030594,-0.059288310910734776,-0.1954396238566507
1940-06-15 12:00:00,-0.5890692078020056,0.2737658336766028,0.3190716025870234,-0.7249436594267799,-0.8233284634749635,-0.21923164215643387,0.3947704946572575,0.35367253501289264,-0.1953279623642189,-0.5166542465042772,-0.1412726393526001,-0.3996348690428597,0.030212133155403095,-0.2611780359935584,-0.09765241362527721
1940-07-16 00:00:00,-0.3654130558530002,-0.2430739079084444,-0.01267030030830868,-0.11029861418571757,-0.31208831007265486,-0.8694920268510495,0.42123389775696823,0.19130919712621397,-0.4943687239139041,-0.3781057296868387,-0.5287883252370293,-0.24448889356435682,0.0007392687499012535,-0.4713309002292968,-0.29139643860317443
1940-08-16 00:00:00,-0.35486826527201526,0.19017945009090328,-0.039776990243687194,0.16050101357927776,-0.5333872419772656,-0.16936599494085258,-0.3530419521041977,-0.43474610207626263,-0.05818230014036799,-0.0816148142344123,0.21134657055617304,0.0034827752196074924,0.042333591127194384,0.19362599133858188,-0.30122613997963366
1940-09-15 12:00:00,1.6247060743566712,-0.3779964918572799,-0.012707421266585472,0.07343510969415937,-0.236471365473364,-0.5597413276202023,0.30684701354236926,-0.07147042340555787,-0.9264847664508548,0.7009577562751164,0.3260755122822195,-0.43674168299411537,-0.6912541617687131,-0.34696520560511657,0.7496962642530909
1940-10-16 00:00:00,-0.2983748930363782,-0.02579936962163188,-0.9566936165005322,-0.1806163176931379,-0.3587111138096883,0.5263481754306435,-0.18714306300214195,0.3515877987118172,-0.4099120642030952,-0.5036270212384053,0.41249212149794484,-0.2979055436197425,0.1922241094826418,0.45023054442739524,-0.006873198351005305
1940-11-15 12:00:00,1.7296960977441747,1.5250945004829288,-0.2945802557118265,-0.7414841566527127,0.7233235382179032,0.08668161329482282,1.1914490116613383,0.6436550519189835,-0.5042548907706237,-0.41499306389182133,-0.07459312519777812,0.3012640464341533,-0.13275254628278915,-0.10476885237575051,-0.6018569415601733
1940-12-16 00:00:00,0.2678406557317303,1.1297456809222788,-0.16829108946087,1.0057394489733984,-0.14235704661775306,-0.1760942430657224,-0.5300648745624985,0.9820744088169339,0.7969385018769473,0.29062111484737635,-0.7291246238849963,-0.5850960106608319,-1.3497544325884467,-0.29857133032250077,0.8292605295807878
1941-01-16 00:00:00,1.3713423069711446,-0.7469303083436911,-0.055242574273785094,-0.03585185337647617,-0.015172114353888433,-0.22753146715884176,0.13448182636449174,0.2718584642209051,0.3158757769345122,0.5465742638461812,0.9416172091531687,0.4368015633557319,0.6558499805022525,0.6595807543186545,1.0396162570914074
1941-02-14 12:00:00,0.23684863631763986,-0.0789285787133514,0.7846758880156156,0.17531134807458448,0.38567626247963116,0.1702565698040318,-0.16091588662885353,-0.44808328553559007,-0.1609714324478009,0.13348899935183006,0.8627234105256417,-0.06908097020965402,-0.4637734951506137,-0.06852683061955042,-0.39999129328655614
1941-03-16 00:00:00,-0.14936998561706089,-0.22899105094634983,-0.019454832235150765,-0.18676221867167764,0.6530963724230813,-0.04875198418339566,0.41226159417528535,0.542043541338768,0.005390930496720028,-0.40025406792664564,0.6343531326057108,0.05829897134466547,0.03667262827346115,-1.1313881117791746,0.40754202937034734
1941-04-15 12:00:00,0.013371963460392433,2.66235817081846,-0.21274219415848591,-0.12500511491286487,-0.7108655781272196,0.3559455612019188,0.6040545262157537,0.787946173522789,-0.8729440408563517,-0.48381941072973084,0.1306426229866137,-0.49327093767398733,-0.1985466579731148,-0.4997786809225597,-0.05220850450140546
1941-05-16 00:00:00,-0.2527450127856327,-0.3838804081019662,-0.43202615858800053,-0.3203912217568514,0.25402901406538125,-0.2163071389138217,0.24554057898174303,0.11839347933590605,-0.43275835158128406,0.23913070341719617,0.6159660696610976,-0.5323064940556004,0.5572263259455749,-0.1710888317322971,0.23154334437770863
1941-06-15 12:00:00,-0.9094400619295367,-0.38760782525103676,0.6663462117341833,0.3402666692212931,-0.1443419557365988,1.273355110877041,-0.22435996217004578,0.4745933507478678,-0.6879208313369113,0.8563136714777626,-0.39022324287347887,0.6969368880600828,0.32046632056014446,0.20025205677201824,-0.5133673452785853
1941-07-16 00:00:00,1.4549552354970956,-0.05939469647685339,0.8129025099797557,-0.20924842784745024,-0.04616069864610206,0.03957990645259235,-0.668071589665411,-0.2275083097443239,0.1104516127062482,-0.24270132615777798,0.08824454763852571,-0.07590445946596114,0.43183889735956116,-0.10273107653412367,-0.22003628146801013
