time,PC1,PC2,PC3,PC4,PC5
1940-01-16 00:00:00,0.6395303463704093,-0.4703124196060953,0.17855416975188343,0.7557592656372267,-0.1976120933364712
1940-02-15 00:00:00,0.03454137501950025,0.06077779008927961,0.24481687919500583,-0.06009014242032473,-0.05164086775183757
1940-03-16 00:00:00,0.1149736519924165,-0.1572376979947709,-0.6005103453277606,-0.27543315947444685,-0.06646117420076808
1940-04-15 12:00:00,0.39630017346858604,1.0353940561190549,0.17649084670073623,0.09786442766196235,-0.13297766885838835
1940-05-16 00:00:00,0.26382098087448935,-0.14846042306677515,-0.1054865816620364,-0.3129927110782204,0.23972282235737474
1940-06-15 12:00:00,-1.0359657971185101,-0.628606536678511,0.606303229418066,0.3553381272497591,0.336065606517406
1940-07-16 00:00:00,-0.11425865092034612,2.257932922844689,0.36131753549339163,0.4901182836084568,-0.6574342328155506
1940-08-16 00:00:00,-0.41251552865616914,-0.3086670498738568,0.4053854342187281,-0.6021256700777626,-0.18831467647251923
1940-09-15 12:00:00,0.041249163991590426,-0.052580781819019096,-0.6673773331862881,0.598671549784064,0.2639368315024019
1940-10-16 00:00:00,0.019336469244327692,-0.15306296807683406,-0.5287523787859204,-0.2644486166884916,-0.27753688194541093
1940-11-15 12:00:00,1.2825842968093688,-0.7802856511426618,0.42620740782833566,0.37915474598137267,0.07710777843565542
1940-12-16 00:00:00,-0.11247148974416213,0.41784333478947533,0.3776398942443061,-0.2769921929899873,0.5255459141688603
1941-01-16 00:00:00,-0.5119945950367724,-0.712795923819089,0.2653979309133956,-0.5606512183447572,0.019201144712541418
1941-02-14 12:00:00,-0.5882160423361473,-0.5518613038178919,0.37448194038740457,-0.24803171677276448,-0.08128590623093596
1941-03-16 00:00:00,0.6092798852988411,0.5077413557305807,0.49763445201548684,-0.18091848326133564,0.05822914498434212
1941-04-15 12:00:00,-2.0730708451686874,-0.6052197617240943,1.4486307798764595,0.4884430726812361,0.6113100341606031
1941-05-16 00:00:00,1.8675192880367637,-0.4189066187069912,1.0306004255156695,1.5097168133184362,0.8117608798124267
1941-06-15 12:00:00,-0.3966704193013223,-0.43151445084680984,-0.10935216209933651,-0.5281168144223881,-0.2797336063263874
1941-07-16 00:00:00,-0.30300551907424933,0.3679539772424445,0.1709974791285107,-0.42316574929224615,-0.13499888045792724
1941-08-16 00:00:00,-0.405307533714488,-0.5657913987670721,0.3244799720006223,-0.3391198981062672,-0.2397912429936295
1941-09-15 12:00:00,-0.5507963175210214,-0.39143456477790295,-0.10719837231702323,-0.2517725603964355,-0.3939436435175115
1941-10-16 00:00:00,-0.3103425564952129,0.20024164603428632,-0.4251095030249097,0.45235101644157116,-0.2715471204488238
1941-11-15 12:00:00,-0.04571980597718467,-0.15275715438040238,-0.37977465180506226,0.5952174380355357,-0.6665243059493995
1941-12-16 00:00:00,-0.8237493297913226,-0.4789993689461818,0.6822668576465253,-0.10086001585863658,0.28377473534658426
1942-01-16 00:00:00,-0.010357407495238918,0.09535473150283627,-0.6713882136176428,0.23606080935932927,-0.40012106113096807
1942-02-14 12:00:00,-0.6250996439103523,-0.18699576610065843,0.3490064550351525,-0.5297382592833582,-0.3449402389621592
1942-03-16 00:00:00,-0.3002902319634233,0.6850397559777041,-0.6585921118649577,0.34831065746263357,0.9717200568666917
1942-04-15 12:00:00,-0.2785243278505444,-0.08559074843280917,-0.5618793402697759,-0.08294827560662354,-0.04797819110201229
1942-05-16 00:00:00,-0.06799738704675753,0.1605206444357231,-0.4045402793028946,0.37586364134646355,1.3032897583313232
1942-06-15 12:00:00,0.07121480831641815,0.3277912480272043,-0.38321243523131626,-0.020000821064223406,-0.4840485815135082
1942-07-16 00:00:00,0.05311898463049136,0.1552776411565057,-0.3285913454449344,-0.6690556177531624,-0.28605391806310854
1942-08-16 00:00:00,0.10160523013199448,-0.043703728843649065,-0.6052941960616769,-0.2542807410518091,0.25574517427675836
1942-09-15 12:00:00,0.2391741524295882,0.3341598277398805,-0.04811391061867809,-0.3274050555283135,-0.22314582490312335
1942-10-16 00:00:00,0.04266810673821306,0.2425244099563623,-0.5902780744680294,-0.4049561076841393,0.5631680876122603
1942-11-15 12:00:00,-0.07617178731845234,-0.06956359398769596,-0.4709548885002114,-0.24553473560277883,0.5266831122295504
1942-12-16 00:00:00,-0.45869506117836156,-0.004790905993378697,-0.4817844580844952,0.7175116757685596,0.7514748593118776
1943-01-16 00:00:00,0.23456758781779352,-0.2344508944736155,-0.430975131220813,-0.3537721775546623,0.04143121212565937
1943-02-14 12:00:00,-0.22906213962719155,-0.20824825111804407,-0.49914913126065896,0.14615147536282302,-0.26944775376384694
1943-03-16 00:00:00,-0.7146732761902947,-0.2800935083235282,1.2472471071734734,-0.06744654122973515,-0.09359690309294216
1943-04-15 12:00:00,-0.4346155321673384,-0.2833498112470922,-0.3181020300647168,-0.2027423129193866,0.7234736100397807
1943-05-16 00:00:00,0.06744689775941122,-0.25385838525534277,-0.5867428364148047,-0.5602393635148415,-0.182625202973432
1943-06-15 12:00:00,0.18838328715331315,1.14153232972537,0.08634827541772239,-0.06400316080986701,-0.22611782418145376
1943-07-16 00:00:00,-0.17543652728431494,0.7154107820960822,0.03338245550522645,0.4560191683253323,-0.4938586076132201
1943-08-16 00:00:00,0.02370164115413695,-0.7114903520586681,0.6393743749916873,0.2583302205173206,-0.18055192596727834
1943-09-15 12:00:00,0.19730095716005966,1.2427417351588397,0.2868331766187777,-0.4385318948966526,-0.42925824954281355
1943-10-16 00:00:00,-0.39504240400202006,0.19088606048295773,-0.5174350258737733,0.08192571481202715,1.0688892916426451
1943-11-15 12:00:00,-0.7113523019033346,-0.5018758795631315,0.28264572997540605,-0.35199629637002205,-0.18718616842624936
1943-12-16 00:00:00,0.12728047014063926,0.11239017962212292,0.025054944674693047,-0.11079319837173096,-0.4818230633005647
