time,PC1,PC2,PC3
1940-01-16 00:00:00,-0.31238864431714486,0.23142926889210802,-0.27194337968126364
1940-02-15 00:00:00,-0.5704359072825727,0.1946183716449958,-0.46110209447406914
1940-03-16 00:00:00,-0.10748360486669287,0.2470965110530549,-0.1334543649170114
1940-04-15 12:00:00,-0.3308855182645865,-0.3605121354701889,-0.009666349961084047
1940-05-16 00:00:00,0.02101836173209448,-0.16995856462655812,-0.028630061293991597
1940-06-15 12:00:00,-0.020478160984425384,-0.19621333072710212,0.013139542501017181
1940-07-16 00:00:00,0.23673958572377798,-0.050706615080659434,-0.014458526391822612
1940-08-16 00:00:00,0.2301977583158105,-0.06747931866030299,-0.031542828276555135
1940-09-15 12:00:00,-0.19607477673572918,-0.2997328379685261,0.03605820646552456
1940-10-16 00:00:00,0.06788142700847169,-0.015507502431453823,-0.008813774842025588
1940-11-15 12:00:00,0.12656948047373892,-0.050824214395864376,-0.026066390204813644
1940-12-16 00:00:00,-0.38695672102989653,0.159011639800976,-0.5316476593770045
1941-01-16 00:00:00,-0.2158166561401179,0.11210220850447128,-0.4322572669909118
1941-02-14 12:00:00,-0.546043104253402,0.06396869710967612,-0.5143637840486405
1941-03-16 00:00:00,-0.3836636076387736,-0.17171380063308062,-0.31087917069784754
1941-04-15 12:00:00,-0.5576383854654264,-0.2739179737658739,-0.07196236071991971
1941-05-16 00:00:00,-0.26837295964996044,-0.25906644655226585,-0.08381943023364068
1941-06-15 12:00:00,-0.0014134316321917084,-0.16380377536949065,0.05113424344020509
1941-07-16 00:00:00,0.07531875143523906,-0.16140898111224666,0.0024206182661994195
1941-08-16 00:00:00,-0.06281870211279007,-0.21295873740981297,0.06406533807619204
1941-09-15 12:00:00,0.21306772147263317,-0.07695811889070125,-0.03438298900364256
1941-10-16 00:00:00,0.04787648383817364,-0.13185675518130102,0.00223590968521584
1941-11-15 12:00:00,0.213207164143261,0.11145838149228537,-0.054452873964201925
1941-12-16 00:00:00,-0.2467381429575432,0.3903893519401277,-0.163905897278908
1942-01-16 00:00:00,0.06039897875050487,0.31114694474458493,-0.25355270498643756
1942-02-14 12:00:00,-0.058613585428041126,0.16487592166364257,-0.19675555721542265
