Model_Component,Model_Fit,Model_Evaluation_1,Evaluation_Value_1,Model_Evaluation_2,Evaluation_Value_2
signal_freq,Expon,KS Test,0.4259054335374019,p_val,9.532665838183646e-09
signal,Expon,KS Test,0.44593238077491043,p_val,1.1191444244389974e-08
intensity,Expon,KS Test,0.4113557080184693,p_val,2.1076929217560388e-07
duration,Expon,Chi-Squared Test,8.702789852821871,p_val,0.19099575115162012
frequency,Poisson,Chi-Squared Test,11.981597325102886,p_val,0.007446466887446323
Forecast_Model,"ARIMA((1, 0, 2))",AIC,-148.816821362025,BIC,-136.54508488075746
