Model_Component,Model_Fit,Model_Evaluation_1,Evaluation_Value_1,Model_Evaluation_2,Evaluation_Value_2
signal_freq,Expon,KS Test,0.4847379407345872,p_val,4.271155797977481e-08
signal,Expon,KS Test,0.4916327477608593,p_val,1.52087845087532e-06
intensity,Expon,KS Test,0.43105600936779576,p_val,4.4814895553185396e-05
duration,Expon,Chi-Squared Test,6.122353680615972,p_val,0.2944948142911774
frequency,Poisson,Chi-Squared Test,3.3141356835200675,p_val,0.34568006166120746
Forecast_Model,"ARIMA((2, 0, 1))",AIC,-993.5596949265259,BIC,-981.2879584452584
