time,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
1940-01-16 00:00:00,-0.47057115860360643,-0.09215283195840696,-0.044258765747391904,-0.272103994321196,-0.08566896154322429,0.0050580598163314505,0.011095266712277008,-0.003174081026226433
1940-02-15 00:00:00,-0.7151746120976039,-0.45161676148510044,-0.3527149981481768,-0.2892277477592031,-0.23849224867179902,-0.04792407079551625,0.008948339059358448,0.00018951074222886555
1940-03-16 00:00:00,-0.3235218788674088,0.04934546881131785,0.04465488877033719,-0.11552810389278406,-0.09885212727136888,0.016301888860516645,0.00613979932960379,-1.9019030014000293e-05
1940-04-15 12:00:00,-0.06157586017424266,-0.5157651753332456,-0.04204344971906171,0.06695182815674205,0.030775213953519565,0.006960401135542527,0.0013703780350868347,-0.0002544648087840218
1940-05-16 00:00:00,0.1240810632920923,-0.13024365870919818,0.011463326022422948,0.0715877731087301,-0.05962034607393879,-0.01173709477760737,9.978060502516956e-05,0.0001721676333749922
1940-06-15 12:00:00,0.15006130922135544,-0.2089435904659458,-0.06176694460312482,0.005385783041800707,0.058305725257172814,-0.00263586696766982,-0.0012509580266367101,9.74388983050467e-05
1940-07-16 00:00:00,0.30213916014479436,0.060843044167281035,-0.009634333363991665,-0.05363927804816582,0.016229728129054266,-0.007890068436294473,-8.9198425256308e-05,-6.741006437815944e-05
1940-08-16 00:00:00,0.29955654748375904,0.05421073103062002,0.0037058353466160043,-0.05557095190292116,-0.004052416545915261,-0.012477902514472727,0.0022685658083279117,-4.5070911937089564e-05
1940-09-15 12:00:00,0.04101368315117857,-0.37687732720176903,-0.12017614911089874,0.11569233870041751,0.07327459331561137,0.020586678271580894,0.013308094960950229,-0.00037110996743602853
1940-10-16 00:00:00,0.07752651556849233,0.05560436435091354,0.05794130129157715,-0.028954283445761675,-0.012967356268180519,0.019914151167142513,0.014075353675628732,-0.000645611781378258
1940-11-15 12:00:00,0.14915463040681232,0.02997194733401065,-0.01799582918594128,0.0585411466482717,-0.06772335887888031,-0.002223658700252984,0.0016600525004967642,-7.164450868929473e-06
1940-12-16 00:00:00,-0.40962707978313173,-0.3829704817653242,-0.49695441300385607,-0.4193933974598902,-0.2124713248598365,0.013452826073245161,-0.001740120180966892,-0.002158869761729715
1941-01-16 00:00:00,-0.26658042700869583,-0.3160787709757438,-0.2669022183392194,-0.31829413158478204,-0.21825910875783883,0.0268593559891111,-0.006865405363861231,-0.0016015484881408137
1941-02-14 12:00:00,-0.5181791874897866,-0.5075764350646533,-0.1803828851482424,-0.4733548243239447,-0.19922031210999291,-0.04946081235477645,0.017412332538318885,0.0009758534285452258
1941-03-16 00:00:00,-0.29255201317653023,-0.4519910859309365,0.2262475940761205,-0.2482206507905786,-0.1832391749725621,0.005564766310080571,0.031806112832364765,0.0013396974063857592
1941-04-15 12:00:00,-0.40488936284117805,-0.5268323948742574,0.15997266091433707,0.04312685127825433,-0.10093319502011933,0.028133664076464726,0.012396382791172507,0.0005830631444775636
1941-05-16 00:00:00,-0.1197777068359552,-0.387604356326688,-0.04869501094740841,0.1550923236212448,-0.13111380427728087,0.00999810498364534,0.0017462577027978418,0.0009997651738938296
