time,cfs
1962-07-31,3640.0
1962-08-31,3900.0
1962-09-30,2820.0
1962-10-31,5080.0
1962-11-30,3880.0
1962-12-31,3010.0
1963-01-31,2830.0
1963-02-28,74100.0
1963-03-31,15400.0
1963-04-30,20500.0
1963-05-31,10700.0
1963-06-30,8260.0
1963-07-31,3690.0
1963-08-31,3570.0
1963-09-30,3170.0
1963-10-31,2900.0
1963-11-30,4950.0
1963-12-31,5130.0
1964-01-31,2650.0
1964-02-29,2470.0
1964-03-31,1920.0
1964-04-30,1380.0
1964-05-31,1270.0
1964-06-30,3210.0
1964-07-31,4050.0
1964-08-31,4110.0
1964-09-30,3000.0
1964-10-31,2350.0
1964-11-30,1050.0
1964-12-31,115000.0
1965-01-31,35500.0
1965-02-28,10400.0
1965-03-31,5370.0
1965-04-30,7850.0
1965-05-31,8040.0
1965-06-30,4050.0
1965-07-31,3280.0
1965-08-31,3570.0
1965-09-30,3260.0
1965-10-31,3170.0
1965-11-30,3410.0
1965-12-31,3420.0
1966-01-31,2600.0
1966-02-28,1780.0
1966-03-31,4000.0
1966-04-30,2460.0
1966-05-31,990.0
1966-06-30,2730.0
1966-07-31,2780.0
1966-08-31,3760.0
1966-09-30,988.0
1966-10-31,1460.0
1966-11-30,3940.0
1966-12-31,22600.0
1967-01-31,35900.0
1967-02-28,30900.0
1967-03-31,27200.0
1967-04-30,7810.0
1967-05-31,8380.0
1967-06-30,8710.0
1967-07-31,8320.0
1967-08-31,3730.0
1967-09-30,5150.0
1967-10-31,2790.0
1967-11-30,4510.0
1967-12-31,4750.0
1968-01-31,2670.0
1968-02-29,8230.0
1968-03-31,7810.0
1968-04-30,3070.0
1968-05-31,2020.0
1968-06-30,4100.0
1968-07-31,4680.0
1968-08-31,2040.0
1968-09-30,960.0
1968-10-31,960.0
1968-11-30,2450.0
1968-12-31,5050.0
1969-01-31,67200.0
1969-02-28,12300.0
1969-03-31,12300.0
1969-04-30,8380.0
1969-05-31,8110.0
1969-06-30,6920.0
1969-07-31,2100.0
1969-08-31,2540.0
1969-09-30,3120.0
1969-10-31,4600.0
1969-11-30,4640.0
1969-12-31,12000.0
1970-01-31,52200.0
1970-02-28,10200.0
1970-03-31,7700.0
1970-04-30,2500.0
1970-05-31,1550.0
1970-06-30,3120.0
1970-07-31,4130.0
1970-08-31,3590.0
1970-09-30,3700.0
1970-10-31,3680.0
1970-11-30,4540.0
1970-12-31,8180.0
1971-01-31,8240.0
1971-02-28,5640.0
1971-03-31,4900.0
1971-04-30,5240.0
1971-05-31,4290.0
1971-06-30,5240.0
1971-07-31,4810.0
1971-08-31,4210.0
1971-09-30,4170.0
1971-10-31,3110.0
1971-11-30,2680.0
1971-12-31,5220.0
1972-01-31,5180.0
1972-02-29,4810.0
1972-03-31,4810.0
1972-04-30,1870.0
1972-05-31,2100.0
1972-06-30,5200.0
1972-07-31,4210.0
1972-08-31,3550.0
1972-09-30,3030.0
1972-10-31,3030.0
1972-11-30,4150.0
1972-12-31,5270.0
1973-01-31,31900.0
1973-02-28,15100.0
1973-03-31,8000.0
1973-04-30,2630.0
1973-05-31,4090.0
1973-06-30,4190.0
1973-07-31,4250.0
1973-08-31,2130.0
1973-09-30,2120.0
1973-10-31,5310.0
1973-11-30,16000.0
1973-12-31,15700.0
1974-01-31,26400.0
1974-02-28,7580.0
1974-03-31,15500.0
1974-04-30,20600.0
1974-05-31,6130.0
1974-06-30,6180.0
1974-07-31,3190.0
1974-08-31,3140.0
1974-09-30,4130.0
1974-10-31,4210.0
1974-11-30,3040.0
1974-12-31,3080.0
1975-01-31,2010.0
1975-02-28,7900.0
1975-03-31,8240.0
1975-04-30,8250.0
1975-05-31,5470.0
1975-06-30,5280.0
1975-07-31,3640.0
1975-08-31,3140.0
1975-09-30,2410.0
1975-10-31,3320.0
1975-11-30,3600.0
1975-12-31,3150.0
1976-01-31,2500.0
1976-02-29,1570.0
1976-03-31,1660.0
1976-04-30,1320.0
1976-05-31,1860.0
1976-06-30,1580.0
1976-07-31,2040.0
1976-08-31,3060.0
1976-09-30,3070.0
1976-10-31,840.0
1976-11-30,829.0
1976-12-31,1820.0
1977-01-31,1300.0
1977-02-28,826.0
1977-03-31,539.0
1977-04-30,422.0
1977-05-31,628.0
1977-06-30,1170.0
1977-07-31,1150.0
1977-08-31,1140.0
1977-09-30,641.0
1977-10-31,302.0
1977-11-30,306.0
1977-12-31,277.0
1978-01-31,8000.0
1978-02-28,8040.0
1978-03-31,15200.0
1978-04-30,7020.0
1978-05-31,8510.0
1978-06-30,4970.0
1978-07-31,3020.0
1978-08-31,3440.0
1978-09-30,3390.0
1978-10-31,3140.0
1978-11-30,1260.0
1978-12-31,1290.0
1979-01-31,7610.0
1979-02-28,16000.0
1979-03-31,4950.0
1979-04-30,4670.0
1979-05-31,8550.0
1979-06-30,6150.0
1979-07-31,3070.0
1979-08-31,3510.0
1979-09-30,3590.0
1979-10-31,2540.0
1979-11-30,2560.0
1979-12-31,2560.0
1980-01-31,80200.0
1980-02-29,34500.0
1980-03-31,7620.0
1980-04-30,7500.0
1980-05-31,6560.0
1980-06-30,5290.0
1980-07-31,5050.0
1980-08-31,3170.0
1980-09-30,5050.0
1980-10-31,2610.0
1980-11-30,1610.0
1980-12-31,2510.0
1981-01-31,2070.0
1981-02-28,1560.0
1981-03-31,1550.0
1981-04-30,1580.0
1981-05-31,4430.0
1981-06-30,5040.0
1981-07-31,3530.0
1981-08-31,1540.0
1981-09-30,2480.0
1981-10-31,2430.0
1981-11-30,15900.0
1981-12-31,36100.0
1982-01-31,25000.0
1982-02-28,84200.0
1982-03-31,12300.0
1982-04-30,49400.0
1982-05-31,11000.0
1982-06-30,8390.0
1982-07-31,5180.0
1982-08-31,5050.0
1982-09-30,5020.0
1982-10-31,5010.0
1982-11-30,9740.0
1982-12-31,34800.0
1983-01-31,25400.0
1983-02-28,24100.0
1983-03-31,34400.0
1983-04-30,12100.0
1983-05-31,12700.0
1983-06-30,12300.0
1983-07-31,12200.0
1983-08-31,5250.0
1983-09-30,4750.0
1983-10-31,3950.0
1983-11-30,36200.0
1983-12-31,47200.0
1984-01-31,19600.0
1984-02-29,8500.0
1984-03-31,6160.0
1984-04-30,5780.0
1984-05-31,5370.0
1984-06-30,5000.0
1984-07-31,5830.0
1984-08-31,4890.0
1984-09-30,2250.0
1984-10-31,2270.0
1984-11-30,5130.0
1984-12-31,5150.0
1985-01-31,1790.0
1985-02-28,3100.0
1985-03-31,2810.0
1985-04-30,2700.0
1985-05-31,3780.0
1985-06-30,4110.0
1985-07-31,3990.0
1985-08-31,3930.0
1985-09-30,2580.0
1985-10-31,2480.0
1985-11-30,1540.0
1985-12-31,1540.0
1986-01-31,5110.0
1986-02-28,131000.0
1986-03-31,40900.0
1986-04-30,7360.0
1986-05-31,3500.0
1986-06-30,4850.0
1986-07-31,5070.0
1986-08-31,5220.0
1986-09-30,5130.0
1986-10-31,4210.0
1986-11-30,2040.0
1986-12-31,1910.0
1987-01-31,1590.0
1987-02-28,1060.0
1987-03-31,1320.0
1987-04-30,1620.0
1987-05-31,1110.0
1987-06-30,2380.0
1987-07-31,3500.0
1987-08-31,2950.0
1987-09-30,3490.0
1987-10-31,3060.0
1987-11-30,1320.0
1987-12-31,1100.0
1988-01-31,1040.0
1988-02-29,1040.0
1988-03-31,1530.0
1988-04-30,1530.0
1988-05-31,3550.0
1988-06-30,4040.0
1988-07-31,4550.0
1988-08-31,3280.0
1988-09-30,1560.0
1988-10-31,1600.0
1988-11-30,834.0
1988-12-31,638.0
1989-01-31,640.0
1989-02-28,643.0
1989-03-31,24400.0
1989-04-30,5680.0
1989-05-31,5250.0
1989-06-30,4660.0
1989-07-31,6800.0
1989-08-31,5010.0
1989-09-30,3640.0
1989-10-31,5100.0
1989-11-30,4680.0
1989-12-31,3210.0
1990-01-31,2440.0
1990-02-28,2270.0
1990-03-31,943.0
1990-04-30,2770.0
1990-05-31,2030.0
1990-06-30,4160.0
1990-07-31,7930.0
1990-08-31,6170.0
1990-09-30,2550.0
1990-10-31,2450.0
1990-11-30,1550.0
1990-12-31,1840.0
1991-01-31,782.0
1991-02-28,437.0
1991-03-31,627.0
1991-04-30,438.0
1991-05-31,1770.0
1991-06-30,3990.0
1991-07-31,4440.0
1991-08-31,3960.0
1991-09-30,2090.0
1991-10-31,2970.0
1991-11-30,3270.0
1991-12-31,2650.0
1992-01-31,1180.0
1992-02-29,840.0
1992-03-31,886.0
1992-04-30,906.0
1992-05-31,3760.0
1992-06-30,4660.0
1992-07-31,4670.0
1992-08-31,3240.0
1992-09-30,1250.0
1992-10-31,1100.0
1992-11-30,748.0
1992-12-31,529.0
1993-01-31,16100.0
1993-02-28,12600.0
1993-03-31,15600.0
1993-04-30,8320.0
1993-05-31,9570.0
1993-06-30,8520.0
1993-07-31,8600.0
1993-08-31,5050.0
1993-09-30,4190.0
1993-10-31,5090.0
1993-11-30,2180.0
1993-12-31,5310.0
1994-01-31,1850.0
1994-02-28,1870.0
1994-03-31,1680.0
1994-04-30,1580.0
1994-05-31,1260.0
1994-06-30,2940.0
1994-07-31,4090.0
1994-08-31,2100.0
1994-09-30,1010.0
1994-10-31,756.0
1994-11-30,1440.0
1994-12-31,1470.0
1995-01-31,28400.0
1995-02-28,9160.0
1995-03-31,41800.0
1995-04-30,20100.0
1995-05-31,22600.0
1995-06-30,10300.0
1995-07-31,32900.0
1995-08-31,4710.0
1995-09-30,4610.0
1995-10-31,5020.0
1995-11-30,2550.0
1995-12-31,2510.0
1996-01-31,3990.0
1996-02-29,27700.0
1996-03-31,7520.0
1996-04-30,8200.0
1996-05-31,43700.0
1996-06-30,5600.0
1996-07-31,3700.0
1996-08-31,3650.0
1996-09-30,2490.0
1996-10-31,3060.0
1996-11-30,4980.0
1996-12-31,32200.0
1997-01-31,106000.0
1997-02-28,15000.0
1997-03-31,6880.0
1997-04-30,3290.0
1997-05-31,2940.0
1997-06-30,3040.0
1997-07-31,3010.0
1997-08-31,2000.0
