year,sim,signal,Scale_Sig,Scale_Int,Scale_Dur,Scale_Freq
2008,0,131.7111917703353,178.13097195438314,46056.06060606061,3.4545454545454546,0.9705882352941176
2009,0,210.78793007121863,178.13097195438314,46056.06060606061,3.4545454545454546,0.9705882352941176
2010,0,159.1313030153594,178.13097195438314,46056.06060606061,3.4545454545454546,0.9705882352941176
2011,0,102.22859563656131,178.13097195438314,46056.06060606061,3.4545454545454546,0.9705882352941176
2012,0,125.63635084370883,178.13097195438314,46056.06060606061,3.4545454545454546,0.9705882352941176
2013,0,185.40142643024876,178.13097195438314,46056.06060606061,3.4545454545454546,0.9705882352941176
2014,0,156.22933377638685,178.13097195438314,46056.06060606061,3.4545454545454546,0.9705882352941176
2015,0,96.52777545512507,178.13097195438314,46056.06060606061,3.4545454545454546,0.9705882352941176
2016,0,148.76277284999077,178.13097195438314,46056.06060606061,3.4545454545454546,0.9705882352941176
2017,0,217.07096316876112,178.13097195438314,46056.06060606061,3.4545454545454546,0.9705882352941176
2018,0,198.46149091603957,178.13097195438314,46056.06060606061,3.4545454545454546,0.9705882352941176
2019,0,57.182235117070974,178.13097195438314,46056.06060606061,3.4545454545454546,0.9705882352941176
2020,0,132.77244602380847,178.13097195438314,46056.06060606061,3.4545454545454546,0.9705882352941176
2021,0,268.76105673933233,178.13097195438314,46056.06060606061,3.4545454545454546,0.9705882352941176
2022,0,106.32394804035988,178.13097195438314,46056.06060606061,3.4545454545454546,0.9705882352941176
2023,0,110.22152386167708,178.13097195438314,46056.06060606061,3.4545454545454546,0.9705882352941176
2024,0,194.80605440677346,178.13097195438314,46056.06060606061,3.4545454545454546,0.9705882352941176
2008,1,121.88387811882451,178.13097195438314,46056.06060606061,3.4545454545454546,0.9705882352941176
2009,1,204.91034828045792,178.13097195438314,46056.06060606061,3.4545454545454546,0.9705882352941176
2010,1,130.7345909646969,178.13097195438314,46056.06060606061,3.4545454545454546,0.9705882352941176
