Model_Component,Model_Fit,Model_Evaluation_1,Evaluation_Value_1,Model_Evaluation_2,Evaluation_Value_2
signal_freq,Expon,KS Test,0.3831416473597078,p_val,3.9371168313795166e-05
signal,Expon,KS Test,0.4289033137093303,p_val,5.004128324158502e-05
intensity,Expon,KS Test,0.43105600936779576,p_val,4.4814895553185396e-05
duration,Expon,Chi-Squared Test,6.122353680615972,p_val,0.2944948142911774
frequency,Poisson,Chi-Squared Test,3.3141356835200675,p_val,0.34568006166120746
Forecast_Model,"ARIMA((1, 1, 3))",AIC,897.1398435493629,BIC,909.3530998318145
