Model_Component,Model_Fit,Model_Evaluation_1,Evaluation_Value_1,Model_Evaluation_2,Evaluation_Value_2
signal_freq,Expon,KS Test,0.33512994676202307,p_val,0.0005234877061464083
signal,Expon,KS Test,0.3957790577861845,p_val,3.7674939910481405e-07
intensity,Expon,KS Test,0.40400325515206775,p_val,1.9247214781170573e-07
duration,Expon,Chi-Squared Test,9.828839832723203,p_val,0.13204747248890955
frequency,Poisson,Chi-Squared Test,2890.7792242432884,p_val,0.0
Forecast_Model,"ARIMA((1, 1, 3))",AIC,897.1398435493629,BIC,909.3530998318145
