Model_Component,Model_Fit,Model_Evaluation_1,Evaluation_Value_1,Model_Evaluation_2,Evaluation_Value_2
signal_freq,Expon,KS Test,0.3334712660542147,p_val,6.281539651024419e-09
signal,Expon,KS Test,0.40831935281796683,p_val,2.857580170273625e-12
intensity,Expon,KS Test,0.4230835383556897,p_val,3.530626350474815e-13
duration,Expon,Chi-Squared Test,13.220156304352724,p_val,0.27918003549903314
frequency,Poisson,Chi-Squared Test,58.58186236923561,p_val,8.73330316906379e-11
Forecast_Model,"ARIMA((1, 1, 3))",AIC,897.1398435493629,BIC,909.3530998318145
