time,latent_dim,latent,alpha,beta,lambda
1940-08-16 00:00:00,1,0.4787281,0.9971282,1.9913495,0.50072986
1940-08-16 00:00:00,2,0.87348574,0.99605185,1.9912299,0.5002194
1940-08-16 00:00:00,3,0.1241535,0.9982117,1.9852507,0.50281394
1940-08-16 00:00:00,4,0.018563936,0.9980308,1.9977165,0.49958578
1940-08-16 00:00:00,5,0.9150246,1.0010843,1.9978573,0.50107896
1940-08-16 00:00:00,6,0.06492418,0.99979454,1.9961432,0.50086313
1940-08-16 00:00:00,7,0.7420492,0.9976259,1.9875028,0.5019494
1940-08-16 00:00:00,8,1.6697487,0.9909256,1.9930888,0.49718085
1940-08-16 00:00:00,9,0.080280565,0.9962843,1.9996325,0.4982337
1940-09-15 12:00:00,0,0.17556827,0.99900943,2.004277,0.4984388
1940-09-15 12:00:00,1,0.50097585,1.0002543,2.0092604,0.4978221
1940-09-15 12:00:00,2,1.2724448,1.0008161,2.0091512,0.4981288
1940-09-15 12:00:00,3,0.8872512,0.99966544,2.0032299,0.49902683
1940-09-15 12:00:00,4,0.6303074,1.0013169,2.0066261,0.49900523
1940-09-15 12:00:00,5,0.36567584,1.0019332,2.004611,0.49981427
1940-09-15 12:00:00,6,0.27554947,1.0018314,2.002195,0.50036657
1940-09-15 12:00:00,7,0.54333603,1.0004408,2.0056376,0.49881434
1940-09-15 12:00:00,8,0.2486117,0.99964005,2.0035827,0.49892628
1940-09-15 12:00:00,9,1.2047296,0.99957126,2.0064049,0.4981902
1940-10-16 00:00:00,0,0.68969744,0.9988275,2.0035157,0.4985374
1940-10-16 00:00:00,1,0.11548055,1.0002211,2.0097613,0.49768156
1940-10-16 00:00:00,2,0.41349593,1.0010161,2.0092146,0.49821264
1940-10-16 00:00:00,3,0.60419273,0.9994341,2.003547,0.49883237
1940-10-16 00:00:00,4,0.2926001,1.0013919,2.0063736,0.4991054
1940-10-16 00:00:00,5,0.2024036,1.0016053,2.003978,0.49980852
1940-10-16 00:00:00,6,0.54867053,1.0017225,2.0011942,0.5005623
1940-10-16 00:00:00,7,0.47877377,1.0005765,2.005931,0.49880907
1940-10-16 00:00:00,8,0.014364633,0.9998827,2.003359,0.4991031
1940-10-16 00:00:00,9,0.57303035,0.9995413,2.0054297,0.4984175
1940-11-15 12:00:00,0,0.6637667,0.99916273,2.0039809,0.49858895
1940-11-15 12:00:00,1,1.2296721,1.0003378,2.0092337,0.49787033
1940-11-15 12:00:00,2,0.2660531,1.0008757,2.0090063,0.49819443
1940-11-15 12:00:00,3,0.11574644,0.99966085,2.0028234,0.4991258
1940-11-15 12:00:00,4,0.5360777,1.00122,2.006604,0.49896243
1940-11-15 12:00:00,5,1.5570793,1.001609,2.0048404,0.49959537
1940-11-15 12:00:00,6,0.24403706,1.0018688,2.0024877,0.5003121
1940-11-15 12:00:00,7,0.51156944,1.0003952,2.0050101,0.49894768
1940-11-15 12:00:00,8,1.8089682,0.9993863,2.0039585,0.4987061
1940-11-15 12:00:00,9,0.027372157,0.99979264,2.006783,0.49820665
1940-12-16 00:00:00,0,0.08444105,0.9978473,1.9984617,0.4993077
1940-12-16 00:00:00,1,1.5977305,1.0000718,2.012591,0.49690762
1940-12-16 00:00:00,2,0.10436084,1.0022607,2.00924,0.4988258
1940-12-16 00:00:00,3,0.15817212,0.9979891,2.004883,0.49777922
1940-12-16 00:00:00,4,1.457215,1.0017176,2.0047104,0.49968192
1940-12-16 00:00:00,5,0.44750944,0.9992793,2.0002391,0.49957994
1940-12-16 00:00:00,6,0.17135802,1.0010574,1.9952412,0.5017225
1940-12-16 00:00:00,7,0.7583501,1.0013306,2.0069077,0.49894205
1940-12-16 00:00:00,8,0.72202665,1.0010492,2.002185,0.49997833
1940-12-16 00:00:00,9,0.01050344,0.9995028,1.9997047,0.49982518
1941-01-16 00:00:00,0,1.3687185,0.99824834,2.0009294,0.49889234
1941-01-16 00:00:00,1,0.26056528,1.0001103,2.0112758,0.4972517
1941-01-16 00:00:00,2,0.4682135,1.0016567,2.0092788,0.49851552
