time,latent
1940-01-16 00:00:00,-1.7006034
1940-02-15 00:00:00,-1.9300939
1940-03-16 00:00:00,-1.4024636
1940-04-15 12:00:00,2.9104946
1940-05-16 00:00:00,3.6033545
1940-06-15 12:00:00,3.4765837
1940-07-16 00:00:00,3.3546827
1940-08-16 00:00:00,3.2068853
1940-09-15 12:00:00,3.2967768
1940-10-16 00:00:00,-0.23990792
1940-11-15 12:00:00,3.3372653
1940-12-16 00:00:00,-1.6373423
1941-01-16 00:00:00,-1.3855792
1941-02-14 12:00:00,-1.6858099
1941-03-16 00:00:00,3.232944
1941-04-15 12:00:00,-1.1840554
1941-05-16 00:00:00,3.0179899
1941-06-15 12:00:00,3.4579053
1941-07-16 00:00:00,3.3525007
1941-08-16 00:00:00,2.8533895
1941-09-15 12:00:00,2.3403509
1941-10-16 00:00:00,2.552979
1941-11-15 12:00:00,2.1118402
1941-12-16 00:00:00,-1.8291957
1942-01-16 00:00:00,-1.9368674
1942-02-14 12:00:00,-2.1094143
1942-03-16 00:00:00,1.9788827
1942-04-15 12:00:00,2.514732
1942-05-16 00:00:00,3.0369737
1942-06-15 12:00:00,2.6716938
1942-07-16 00:00:00,1.4798286
1942-08-16 00:00:00,1.2336566
1942-09-15 12:00:00,1.0417913
1942-10-16 00:00:00,0.6385757
1942-11-15 12:00:00,-4.1118965
1942-12-16 00:00:00,0.95468104
1943-01-16 00:00:00,-3.6718333
1943-02-14 12:00:00,0.9896636
1943-03-16 00:00:00,0.7095287
1943-04-15 12:00:00,-0.12058586
1943-05-16 00:00:00,2.0753572
1943-06-15 12:00:00,2.8176084
1943-07-16 00:00:00,2.0655549
1943-08-16 00:00:00,1.4286505
1943-09-15 12:00:00,1.3559383
1943-10-16 00:00:00,1.2296045
1943-11-15 12:00:00,1.0611614
1943-12-16 00:00:00,0.31195602
1944-01-16 00:00:00,0.52500355
1944-02-15 00:00:00,-3.2747743
1944-03-16 00:00:00,-2.474335
1944-04-15 12:00:00,2.8290954
1944-05-16 00:00:00,2.8352466
1944-06-15 12:00:00,3.471736
1944-07-16 00:00:00,1.9745959
1944-08-16 00:00:00,1.5364356
1944-09-15 12:00:00,1.3589265
1944-10-16 00:00:00,1.207325
1944-11-15 12:00:00,-3.4421413
1944-12-16 00:00:00,0.3421512
1945-01-16 00:00:00,0.48902962
1945-02-14 12:00:00,-3.3016646
1945-03-16 00:00:00,-2.6279857
1945-04-15 12:00:00,1.8829385
1945-05-16 00:00:00,1.9709858
1945-06-15 12:00:00,3.498979
1945-07-16 00:00:00,2.1172528
1945-08-16 00:00:00,1.3302633
1945-09-15 12:00:00,1.3168933
1945-10-16 00:00:00,-3.0269303
1945-11-15 12:00:00,0.7411499
1945-12-16 00:00:00,-3.7141933
1946-01-16 00:00:00,0.46166846
1946-02-14 12:00:00,1.1789495
1946-03-16 00:00:00,-4.090803
1946-04-15 12:00:00,1.8036226
1946-05-16 00:00:00,2.9193084
1946-06-15 12:00:00,2.738358
1946-07-16 00:00:00,2.080932
1946-08-16 00:00:00,1.5811687
1946-09-15 12:00:00,1.4255449
1946-10-16 00:00:00,1.796889
1946-11-15 12:00:00,-2.8274858
1946-12-16 00:00:00,-0.2509152
1947-01-16 00:00:00,2.3292274
1947-02-14 12:00:00,-2.456333
1947-03-16 00:00:00,2.1749434
1947-04-15 12:00:00,2.065893
1947-05-16 00:00:00,2.1083963
1947-06-15 12:00:00,1.8914093
1947-07-16 00:00:00,1.9193052
1947-08-16 00:00:00,1.8969172
1947-09-15 12:00:00,1.4957644
1947-10-16 00:00:00,-3.0321121
1947-11-15 12:00:00,1.4631318
1947-12-16 00:00:00,1.6250731
1948-01-16 00:00:00,-3.5961204
1948-02-15 00:00:00,1.8603777
1948-03-16 00:00:00,-2.202933
1948-04-15 12:00:00,-1.153559
1948-05-16 00:00:00,3.4016805
1948-06-15 12:00:00,2.8395662
1948-07-16 00:00:00,1.7383734
1948-08-16 00:00:00,1.4986602
1948-09-15 12:00:00,1.5106734
1948-10-16 00:00:00,1.18019
1948-11-15 12:00:00,1.1465732
1948-12-16 00:00:00,-2.6413624
1949-01-16 00:00:00,0.46623638
1949-02-14 12:00:00,2.7499309
1949-03-16 00:00:00,-2.247278
1949-04-15 12:00:00,2.8287215
1949-05-16 00:00:00,2.8759043
1949-06-15 12:00:00,3.384137
1949-07-16 00:00:00,2.0359
1949-08-16 00:00:00,1.5149437
1949-09-15 12:00:00,1.1909697
1949-10-16 00:00:00,1.3623413
1949-11-15 12:00:00,-3.4224455
1949-12-16 00:00:00,0.84252584
1950-01-16 00:00:00,-3.8808415
1950-02-14 12:00:00,-4.13562
1950-03-16 00:00:00,-3.0669045
1950-04-15 12:00:00,1.4843682
1950-05-16 00:00:00,2.0281916
1950-06-15 12:00:00,1.8167297
1950-07-16 00:00:00,1.3951553
1950-08-16 00:00:00,1.1958952
1950-09-15 12:00:00,1.2195023
1950-10-16 00:00:00,-3.436768
1950-11-15 12:00:00,-3.432594
1950-12-16 00:00:00,-3.5454803
1951-01-16 00:00:00,-3.6941934
1951-02-14 12:00:00,1.72695
1951-03-16 00:00:00,1.5854456
1951-04-15 12:00:00,2.820555
1951-05-16 00:00:00,3.6582
1951-06-15 12:00:00,3.5024145
1951-07-16 00:00:00,3.482445
1951-08-16 00:00:00,2.7455885
1951-09-15 12:00:00,2.0182767
1951-10-16 00:00:00,-1.7373333
1951-11-15 12:00:00,-1.6287854
1951-12-16 00:00:00,-1.3076942
1952-01-16 00:00:00,-1.9725052
1952-02-15 00:00:00,-1.8768069
1952-03-16 00:00:00,-2.0461555
1952-04-15 12:00:00,-0.85420334
1952-05-16 00:00:00,2.700155
1952-06-15 12:00:00,2.8732996
1952-07-16 00:00:00,1.6289588
1952-08-16 00:00:00,1.4930776
1952-09-15 12:00:00,1.4173497
1952-10-16 00:00:00,1.5032419
1952-11-15 12:00:00,-2.6445057
1952-12-16 00:00:00,-2.7066693
1953-01-16 00:00:00,-2.52253
1953-02-14 12:00:00,2.0069818
1953-03-16 00:00:00,-2.330065
1953-04-15 12:00:00,-1.0178041
1953-05-16 00:00:00,3.4043324
1953-06-15 12:00:00,3.587312
1953-07-16 00:00:00,2.74221
1953-08-16 00:00:00,2.019304
1953-09-15 12:00:00,2.4109654
1953-10-16 00:00:00,2.0405536
1953-11-15 12:00:00,0.035372645
1953-12-16 00:00:00,1.031313
1954-01-16 00:00:00,-2.8034055
1954-02-14 12:00:00,-2.923049
1954-03-16 00:00:00,-2.7239544
1954-04-15 12:00:00,1.8551179
1954-05-16 00:00:00,2.387202
1954-06-15 12:00:00,1.9735404
1954-07-16 00:00:00,1.2431219
1954-08-16 00:00:00,1.1996657
1954-09-15 12:00:00,1.196587
1954-10-16 00:00:00,1.1642978
1954-11-15 12:00:00,-3.5329862
1954-12-16 00:00:00,-3.57382
1955-01-16 00:00:00,0.92079055
1955-02-14 12:00:00,-3.092227
1955-03-16 00:00:00,1.3779817
1955-04-15 12:00:00,-2.5879087
1955-05-16 00:00:00,1.8954557
1955-06-15 12:00:00,1.1349385
1955-07-16 00:00:00,1.3220341
1955-08-16 00:00:00,1.1982566
1955-09-15 12:00:00,1.1449455
1955-10-16 00:00:00,1.185933
1955-11-15 12:00:00,1.1171128
1955-12-16 00:00:00,-4.1810474
1956-01-16 00:00:00,-3.694971
1956-02-15 00:00:00,-3.6437669
1956-03-16 00:00:00,1.4084972
1956-04-15 12:00:00,1.9376041
1956-05-16 00:00:00,1.1691976
1956-06-15 12:00:00,1.5054346
1956-07-16 00:00:00,1.3627855
1956-08-16 00:00:00,1.3550938
1956-09-15 12:00:00,1.1482948
1956-10-16 00:00:00,-3.4507158
1956-11-15 12:00:00,1.2240766
1956-12-16 00:00:00,0.94683206
1957-01-16 00:00:00,-2.9715128
1957-02-14 12:00:00,-3.287697
1957-03-16 00:00:00,2.494336
1957-04-15 12:00:00,-0.48303488
1957-05-16 00:00:00,-1.0215656
1957-06-15 12:00:00,3.576443
1957-07-16 00:00:00,3.4892163
1957-08-16 00:00:00,2.404003
1957-09-15 12:00:00,2.5623207
1957-10-16 00:00:00,-2.243913
1957-11-15 12:00:00,2.6315932
1957-12-16 00:00:00,-1.4108692
1958-01-16 00:00:00,2.9558988
1958-02-14 12:00:00,-1.8323885
1958-03-16 00:00:00,-1.6788975
1958-04-15 12:00:00,-1.9068261
1958-05-16 00:00:00,2.6996474
1958-06-15 12:00:00,2.8557682
1958-07-16 00:00:00,2.7572289
1958-08-16 00:00:00,1.7104119
1958-09-15 12:00:00,1.1796663
1958-10-16 00:00:00,1.406272
1958-11-15 12:00:00,1.3658668
1958-12-16 00:00:00,1.3420935
1959-01-16 00:00:00,-2.4563036
1959-02-14 12:00:00,-1.4980011
1959-03-16 00:00:00,2.9988935
1959-04-15 12:00:00,3.2787855
1959-05-16 00:00:00,3.367366
1959-06-15 12:00:00,3.4927685
1959-07-16 00:00:00,1.9855851
1959-08-16 00:00:00,1.7008643
1959-09-15 12:00:00,-2.60042
1959-10-16 00:00:00,1.5060843
1959-11-15 12:00:00,0.72721064
1959-12-16 00:00:00,-2.8611252
1960-01-16 00:00:00,-2.9429402
1960-02-15 00:00:00,-3.4052324
1960-03-16 00:00:00,2.3542724
1960-04-15 12:00:00,2.4722638
1960-05-16 00:00:00,3.0919836
1960-06-15 12:00:00,3.085333
1960-07-16 00:00:00,2.5127447
1960-08-16 00:00:00,1.4748303
1960-09-15 12:00:00,1.4353505
1960-10-16 00:00:00,1.497126
1960-11-15 12:00:00,-3.0019753
1960-12-16 00:00:00,-3.0287209
1961-01-16 00:00:00,0.39187667
1961-02-14 12:00:00,0.46109626
1961-03-16 00:00:00,1.7125045
1961-04-15 12:00:00,2.2924569
1961-05-16 00:00:00,3.2635803
1961-06-15 12:00:00,2.6493936
1961-07-16 00:00:00,1.9257964
1961-08-16 00:00:00,1.5819143
1961-09-15 12:00:00,1.3786626
1961-10-16 00:00:00,0.9904599
1961-11-15 12:00:00,-3.253704
1961-12-16 00:00:00,-3.538135
1962-01-16 00:00:00,-3.6794403
1962-02-14 12:00:00,-3.3286448
1962-03-16 00:00:00,-2.8606322
1962-04-15 12:00:00,1.788906
1962-05-16 00:00:00,2.1086667
1962-06-15 12:00:00,1.7200872
1962-07-16 00:00:00,1.4488034
1962-08-16 00:00:00,1.5074795
1962-09-15 12:00:00,1.3217493
1962-10-16 00:00:00,-3.428285
1962-11-15 12:00:00,1.3060014
1962-12-16 00:00:00,-3.9537225
1963-01-16 00:00:00,-4.2431664
1963-02-14 12:00:00,-3.6191373
1963-03-16 00:00:00,-3.2097595
1963-04-15 12:00:00,-2.438743
1963-05-16 00:00:00,2.4463663
1963-06-15 12:00:00,2.8792467
1963-07-16 00:00:00,2.407375
1963-08-16 00:00:00,1.8977426
1963-09-15 12:00:00,1.6562642
1963-10-16 00:00:00,-2.3335986
1963-11-15 12:00:00,-2.022665
1963-12-16 00:00:00,2.4033
1964-01-16 00:00:00,-2.301438
1964-02-15 00:00:00,2.1826143
1964-03-16 00:00:00,1.6220866
1964-04-15 12:00:00,1.9879111
1964-05-16 00:00:00,2.6422758
1964-06-15 12:00:00,1.3182979
1964-07-16 00:00:00,1.2278031
1964-08-16 00:00:00,1.1587833
1964-09-15 12:00:00,1.2167835
1964-10-16 00:00:00,0.7718085
1964-11-15 12:00:00,-3.9107838
1964-12-16 00:00:00,-4.1537266
1965-01-16 00:00:00,-3.7082374
1965-02-14 12:00:00,1.033324
1965-03-16 00:00:00,1.8329338
1965-04-15 12:00:00,3.0084624
1965-05-16 00:00:00,3.2206771
1965-06-15 12:00:00,3.567673
1965-07-16 00:00:00,3.3443909
1965-08-16 00:00:00,3.2797651
1965-09-15 12:00:00,3.1980698
1965-10-16 00:00:00,3.3417196
1965-11-15 12:00:00,-1.7549682
1965-12-16 00:00:00,-1.786259
1966-01-16 00:00:00,-1.6515809
1966-02-14 12:00:00,2.8102639
1966-03-16 00:00:00,2.8896048
1966-04-15 12:00:00,2.877444
1966-05-16 00:00:00,2.8829052
1966-06-15 12:00:00,3.3589284
1966-07-16 00:00:00,3.3329484
1966-08-16 00:00:00,2.0122366
