time,latent
1940-01-16 00:00:00,-0.48821962
1940-02-15 00:00:00,-0.3512049
1940-03-16 00:00:00,-0.5875727
1940-04-15 12:00:00,-0.84694284
1940-05-16 00:00:00,-0.8749015
1940-06-15 12:00:00,-0.8844123
1940-07-16 00:00:00,-0.9004779
1940-08-16 00:00:00,-0.9023421
1940-09-15 12:00:00,-0.8743021
1940-10-16 00:00:00,-0.8126171
1940-11-15 12:00:00,-0.84951955
1940-12-16 00:00:00,-0.4184302
1941-01-16 00:00:00,-0.54826176
1941-02-14 12:00:00,-0.42801896
1941-03-16 00:00:00,-0.66586924
1941-04-15 12:00:00,-0.7103692
1941-05-16 00:00:00,-0.80661917
1941-06-15 12:00:00,-0.87745345
1941-07-16 00:00:00,-0.89752907
1941-08-16 00:00:00,-0.8875297
1941-09-15 12:00:00,-0.89972794
1941-10-16 00:00:00,-0.87127703
1941-11-15 12:00:00,-0.792823
1941-12-16 00:00:00,-0.44020784
1942-01-16 00:00:00,-0.5855851
1942-02-14 12:00:00,-0.6307759
1942-03-16 00:00:00,-0.79288065
1942-04-15 12:00:00,-0.6675862
1942-05-16 00:00:00,-0.79608536
1942-06-15 12:00:00,-0.89547473
1942-07-16 00:00:00,-0.9037655
1942-08-16 00:00:00,-0.90182173
1942-09-15 12:00:00,-0.9044556
1942-10-16 00:00:00,-0.87755096
1942-11-15 12:00:00,-0.5589516
1942-12-16 00:00:00,-0.8107743
1943-01-16 00:00:00,-0.47539103
1943-02-14 12:00:00,-0.7840122
1943-03-16 00:00:00,-0.66261035
1943-04-15 12:00:00,-0.81124794
1943-05-16 00:00:00,-0.89681816
1943-06-15 12:00:00,-0.88413316
1943-07-16 00:00:00,-0.89826196
1943-08-16 00:00:00,-0.9040865
1943-09-15 12:00:00,-0.9042821
1943-10-16 00:00:00,-0.84287137
1943-11-15 12:00:00,-0.87454104
1943-12-16 00:00:00,-0.7609804
1944-01-16 00:00:00,-0.7226214
1944-02-15 00:00:00,-0.59020585
1944-03-16 00:00:00,-0.7733221
1944-04-15 12:00:00,-0.78427094
1944-05-16 00:00:00,-0.86003447
1944-06-15 12:00:00,-0.87747574
1944-07-16 00:00:00,-0.90193343
1944-08-16 00:00:00,-0.9045184
1944-09-15 12:00:00,-0.9015966
1944-10-16 00:00:00,-0.84129554
1944-11-15 12:00:00,-0.64001435
1944-12-16 00:00:00,-0.7295123
1945-01-16 00:00:00,-0.8670766
1945-02-14 12:00:00,-0.6352412
1945-03-16 00:00:00,-0.6239882
