time,latent
1940-01-16 00:00:00,1.2379144
1940-02-15 00:00:00,1.814428
1940-03-16 00:00:00,1.4765836
1940-04-15 12:00:00,-1.6144202
1940-05-16 00:00:00,-1.6216388
1940-06-15 12:00:00,-1.6704774
1940-07-16 00:00:00,-1.503788
1940-08-16 00:00:00,-1.4898683
1940-09-15 12:00:00,-1.4952729
1940-10-16 00:00:00,-0.80151284
1940-11-15 12:00:00,-1.4722543
1940-12-16 00:00:00,2.271716
1941-01-16 00:00:00,-1.4905441
1941-02-14 12:00:00,1.322644
1941-03-16 00:00:00,-1.7999016
1941-04-15 12:00:00,-2.044126
1941-05-16 00:00:00,-2.0553608
1941-06-15 12:00:00,-1.578522
1941-07-16 00:00:00,-1.5216668
1941-08-16 00:00:00,-1.351914
1941-09-15 12:00:00,-1.20572
1941-10-16 00:00:00,-1.2847122
1941-11-15 12:00:00,-1.674273
1941-12-16 00:00:00,-1.0224466
1942-01-16 00:00:00,1.6825861
1942-02-14 12:00:00,0.8046689
1942-03-16 00:00:00,-1.2188604
1942-04-15 12:00:00,-1.7387582
1942-05-16 00:00:00,-1.6095027
1942-06-15 12:00:00,-1.4373192
1942-07-16 00:00:00,-0.78556526
1942-08-16 00:00:00,-0.4809276
1942-09-15 12:00:00,-0.45225513
1942-10-16 00:00:00,-0.22846574
1942-11-15 12:00:00,0.7934985
1942-12-16 00:00:00,-0.34171337
1943-01-16 00:00:00,2.4194808
1943-02-14 12:00:00,-0.15504691
1943-03-16 00:00:00,0.25279474
1943-04-15 12:00:00,-0.681542
1943-05-16 00:00:00,-0.96036124
1943-06-15 12:00:00,-1.2867149
1943-07-16 00:00:00,-0.9004544
1943-08-16 00:00:00,-0.81319225
1943-09-15 12:00:00,-0.5898766
1943-10-16 00:00:00,-0.4266801
1943-11-15 12:00:00,-0.33232272
1943-12-16 00:00:00,-0.08481899
1944-01-16 00:00:00,-0.25881916
1944-02-15 00:00:00,0.092055485
1944-03-16 00:00:00,-1.0458062
1944-04-15 12:00:00,-1.591848
1944-05-16 00:00:00,-1.5777726
1944-06-15 12:00:00,-1.4292289
1944-07-16 00:00:00,-0.9320996
1944-08-16 00:00:00,-0.78863084
1944-09-15 12:00:00,-0.62859374
1944-10-16 00:00:00,-0.6276847
1944-11-15 12:00:00,0.58876073
1944-12-16 00:00:00,-0.35444385
1945-01-16 00:00:00,-0.3417529
1945-02-14 12:00:00,0.46345258
1945-03-16 00:00:00,-0.42792284
1945-04-15 12:00:00,-0.96145093
1945-05-16 00:00:00,-0.98149645
1945-06-15 12:00:00,-1.5755529
1945-07-16 00:00:00,-1.162535
1945-08-16 00:00:00,-0.69821537
1945-09-15 12:00:00,-0.6805428
1945-10-16 00:00:00,0.15355523
1945-11-15 12:00:00,-0.5027923
1945-12-16 00:00:00,1.8014966
1946-01-16 00:00:00,-0.17420307
1946-02-14 12:00:00,-0.39300376
