time,latent
1940-01-16 00:00:00,-0.7296116
1940-02-15 00:00:00,-0.4970687
1940-03-16 00:00:00,-0.59158427
1940-04-15 12:00:00,-1.0426716
1940-05-16 00:00:00,-1.047593
1940-06-15 12:00:00,-1.0631787
1940-07-16 00:00:00,-1.083039
1940-08-16 00:00:00,-1.0820643
1940-09-15 12:00:00,-1.0573905
1940-10-16 00:00:00,-0.94206035
1940-11-15 12:00:00,-1.0111756
1940-12-16 00:00:00,-0.46446866
1941-01-16 00:00:00,-0.8528806
1941-02-14 12:00:00,-0.63356197
1941-03-16 00:00:00,-0.8500467
1941-04-15 12:00:00,-0.87761724
1941-05-16 00:00:00,-0.97281504
1941-06-15 12:00:00,-1.056387
1941-07-16 00:00:00,-1.0850072
1941-08-16 00:00:00,-1.0878875
1941-09-15 12:00:00,-1.0824219
1941-10-16 00:00:00,-1.0479494
1941-11-15 12:00:00,-0.9260224
1941-12-16 00:00:00,-0.7312811
1942-01-16 00:00:00,-0.65517634
1942-02-14 12:00:00,-0.76475805
1942-03-16 00:00:00,-0.93437135
1942-04-15 12:00:00,-0.93096614
1942-05-16 00:00:00,-0.98894584
1942-06-15 12:00:00,-1.0742445
1942-07-16 00:00:00,-1.086129
1942-08-16 00:00:00,-1.0843003
1942-09-15 12:00:00,-1.0865172
1942-10-16 00:00:00,-1.0404736
1942-11-15 12:00:00,-0.5746243
1942-12-16 00:00:00,-0.9951154
1943-01-16 00:00:00,-0.36423677
1943-02-14 12:00:00,-0.9413599
1943-03-16 00:00:00,-0.851854
1943-04-15 12:00:00,-0.9818448
1943-05-16 00:00:00,-1.083351
1943-06-15 12:00:00,-1.0620083
1943-07-16 00:00:00,-1.0784758
1943-08-16 00:00:00,-1.0863812
1943-09-15 12:00:00,-1.0841914
1943-10-16 00:00:00,-1.0228164
1943-11-15 12:00:00,-1.0474843
1943-12-16 00:00:00,-0.9161546
1944-01-16 00:00:00,-0.9208418
1944-02-15 00:00:00,-0.84584534
1944-03-16 00:00:00,-0.8834406
1944-04-15 12:00:00,-0.97242904
1944-05-16 00:00:00,-1.0475878
1944-06-15 12:00:00,-1.0645229
1944-07-16 00:00:00,-1.0845528
1944-08-16 00:00:00,-1.0868855
1944-09-15 12:00:00,-1.0878124
1944-10-16 00:00:00,-0.9923533
1944-11-15 12:00:00,-0.78846943
1944-12-16 00:00:00,-0.92527485
1945-01-16 00:00:00,-1.0277112
1945-02-14 12:00:00,-0.76732445
1945-03-16 00:00:00,-0.8867887
1945-04-15 12:00:00,-1.0316689
1945-05-16 00:00:00,-1.0047004
1945-06-15 12:00:00,-1.0656909
1945-07-16 00:00:00,-1.087554
1945-08-16 00:00:00,-1.0840384
1945-09-15 12:00:00,-1.0856605
1945-10-16 00:00:00,-0.85458
1945-11-15 12:00:00,-0.9521707
1945-12-16 00:00:00,-0.5671267
1946-01-16 00:00:00,-0.94407475
1946-02-14 12:00:00,-0.97967196
1946-03-16 00:00:00,-0.8196029
1946-04-15 12:00:00,-1.0704604
1946-05-16 00:00:00,-1.0546372
1946-06-15 12:00:00,-1.0867555
1946-07-16 00:00:00,-1.0844331
1946-08-16 00:00:00,-1.0856454
1946-09-15 12:00:00,-1.0838511
1946-10-16 00:00:00,-1.02488
1946-11-15 12:00:00,-0.6843116
1946-12-16 00:00:00,-0.89080286
1947-01-16 00:00:00,-0.9841037
1947-02-14 12:00:00,-0.8772752
1947-03-16 00:00:00,-0.90819514
1947-04-15 12:00:00,-1.0454096
1947-05-16 00:00:00,-1.0449998
1947-06-15 12:00:00,-1.0238311
1947-07-16 00:00:00,-1.087681
1947-08-16 00:00:00,-1.075645
1947-09-15 12:00:00,-1.0795385
1947-10-16 00:00:00,-0.9454969
1947-11-15 12:00:00,-1.0410075
1947-12-16 00:00:00,-0.9807049
1948-01-16 00:00:00,-0.8644922
1948-02-15 00:00:00,-0.9499837
1948-03-16 00:00:00,-0.81927365
1948-04-15 12:00:00,-0.784415
1948-05-16 00:00:00,-0.975109
1948-06-15 12:00:00,-1.0523092
1948-07-16 00:00:00,-1.0853139
1948-08-16 00:00:00,-1.0870036
1948-09-15 12:00:00,-1.076179
1948-10-16 00:00:00,-1.0347874
1948-11-15 12:00:00,-0.9840094
1948-12-16 00:00:00,-0.8352162
1949-01-16 00:00:00,-0.93350935
1949-02-14 12:00:00,-0.92723036
1949-03-16 00:00:00,-0.80166674
1949-04-15 12:00:00,-1.035355
1949-05-16 00:00:00,-0.98534966
1949-06-15 12:00:00,-1.0852119
1949-07-16 00:00:00,-1.0872033
1949-08-16 00:00:00,-1.0853075
1949-09-15 12:00:00,-1.078917
1949-10-16 00:00:00,-1.0709143
1949-11-15 12:00:00,-0.860911
1949-12-16 00:00:00,-0.90448904
1950-01-16 00:00:00,-0.8005613
1950-02-14 12:00:00,-0.84484124
1950-03-16 00:00:00,-0.8622777
1950-04-15 12:00:00,-0.91372573
1950-05-16 00:00:00,-1.0046377
1950-06-15 12:00:00,-1.0717154
1950-07-16 00:00:00,-1.083462
1950-08-16 00:00:00,-1.0849826
1950-09-15 12:00:00,-1.0611007
1950-10-16 00:00:00,-0.7427811
1950-11-15 12:00:00,-0.5255349
1950-12-16 00:00:00,-0.82475543
1951-01-16 00:00:00,-0.7973218
1951-02-14 12:00:00,-0.9303678
1951-03-16 00:00:00,-0.91659987
1951-04-15 12:00:00,-0.9824679
1951-05-16 00:00:00,-0.96760476
1951-06-15 12:00:00,-1.0851835
1951-07-16 00:00:00,-1.0866224
1951-08-16 00:00:00,-1.0685973
1951-09-15 12:00:00,-1.0818068
1951-10-16 00:00:00,-0.97026193
1951-11-15 12:00:00,-0.85278016
1951-12-16 00:00:00,-0.7692674
1952-01-16 00:00:00,-0.6369023
1952-02-15 00:00:00,-0.925426
1952-03-16 00:00:00,-0.7713962
1952-04-15 12:00:00,-0.9839599
1952-05-16 00:00:00,-1.02205
1952-06-15 12:00:00,-1.0326144
1952-07-16 00:00:00,-1.0655084
1952-08-16 00:00:00,-1.0869403
1952-09-15 12:00:00,-1.079358
1952-10-16 00:00:00,-1.0845225
1952-11-15 12:00:00,-0.8493603
1952-12-16 00:00:00,-0.67897975
1953-01-16 00:00:00,-0.8348964
1953-02-14 12:00:00,-1.0624566
1953-03-16 00:00:00,-0.9121723
1953-04-15 12:00:00,-0.9491216
1953-05-16 00:00:00,-0.9706137
1953-06-15 12:00:00,-1.0412421
1953-07-16 00:00:00,-1.0832771
1953-08-16 00:00:00,-1.0794263
1953-09-15 12:00:00,-1.0815297
1953-10-16 00:00:00,-1.0382028
1953-11-15 12:00:00,-0.94962263
1953-12-16 00:00:00,-1.0327952
1954-01-16 00:00:00,-0.8169131
1954-02-14 12:00:00,-0.85009503
1954-03-16 00:00:00,-0.87982166
1954-04-15 12:00:00,-0.974555
1954-05-16 00:00:00,-1.0491755
1954-06-15 12:00:00,-1.0455215
