time,PC1,PC2,PC3,PC4,PC5,PC6,PC7
1940-01-16 00:00:00,0.4096424996167146,0.20851223857828705,-0.27198943576369744,0.13063531594414907,0.06198906905582835,-0.010410212010445036,-0.010907074149608828
1940-02-15 00:00:00,0.5012908434496978,0.3510170240230168,-0.6367244070677158,-0.0192223271862188,0.0961056792562977,0.010188117767777324,0.01804814827203427
1940-03-16 00:00:00,0.3282896649130266,0.07501381599624796,-0.09604228516585078,0.06173421137579865,0.08842250701501916,-0.01336542618082831,-0.004040097670567261
1940-04-15 12:00:00,-0.20132520623525985,0.4207447409534131,-0.032151144477396754,-0.09798610418851716,-0.05418691942204551,-0.0023472867084779747,-0.004730887060435118
1940-05-16 00:00:00,-0.17009115789926676,0.05496303027225141,-0.003614732658391906,-0.08290813021772914,0.0396717034423994,-0.009352461120974334,-0.0008937708083715662
1940-06-15 12:00:00,-0.21695957722281559,0.10844267772332639,-0.029804091933326893,-0.0018912551995982074,-0.06447939477764247,-0.005704348460537523,-0.0016100584108782734
1940-07-16 00:00:00,-0.2154593794310618,-0.10762515581666501,-0.02507704479515621,0.06631698263087271,-0.006274008058468172,-0.006193758468082858,0.0008822935759599665
1940-08-16 00:00:00,-0.21255494442445416,-0.10318535180306576,-0.02067744289047274,0.06482327491171636,0.016326076135167344,-0.004261526789591352,0.0004230482873168878
1940-09-15 12:00:00,-0.23241808218969195,0.25287284949248945,-0.04680870742589727,-0.1085081422908537,-0.11671174165980036,0.0233038256175917,-0.0021526452261207696
1940-10-16 00:00:00,-0.0335211012835291,-0.040977847638838216,0.04860005257100297,0.05585694753860526,0.04141276200129901,0.031699343536204766,0.0001932980049993982
1940-11-15 12:00:00,-0.11721935940914519,-0.07818020299793393,-0.014683515541928593,-0.0659480891548736,0.044129503078605914,0.003831443075728261,-0.0009579755838829696
1940-12-16 00:00:00,0.2917637969375615,0.22080917335587313,-0.7808551395196104,0.06053315700956058,0.0629242463063226,0.029769653859595457,0.03561743089207953
1941-01-16 00:00:00,0.17959965492601912,0.20410528405780226,-0.5365916331639828,0.06918913140065203,0.11033859222651848,0.00903316042470699,0.008078674604026628
1941-02-14 12:00:00,0.35029134100192394,0.4523722346428163,-0.5265192763000197,0.17571565298427977,0.11611428868812215,0.008748107097989871,0.027010753916723362
1941-03-16 00:00:00,0.16690186462862458,0.42622485668025945,-0.08282479289624359,0.17368293612361366,0.21551993053531027,0.01890488737237754,0.013260419089468234
1941-04-15 12:00:00,0.12155943704598862,0.5323311915749019,0.010287325588256402,-0.05574459672346155,0.09861413532459631,0.011575452295849414,0.006957286180876904
1941-05-16 00:00:00,-0.08121820233437246,0.2923561207856532,-0.0898786204517033,-0.21831959762659525,0.06439245767743049,0.005248132282481444,-0.0034355927884222592
1941-06-15 12:00:00,-0.19554874453335305,0.0644244431212978,-0.013606183521059578,-0.08109280973936811,-0.06042614505270871,-0.008469862609537665,-0.00017067005368744115
1941-07-16 00:00:00,-0.2504411219713245,0.047218011133657645,-0.06065277966526947,0.027659029844027072,-0.06563056929647171,-0.005804322197615036,-0.0020735764066193985
1941-08-16 00:00:00,-0.27268742175426086,0.14605457931607424,-0.080869727149942,0.06597952793755169,-0.17274857686844974,-0.00854944291120062,0.0031617837723502823
1941-09-15 12:00:00,-0.20499421253715017,-0.0929777765142582,-0.02027167787500983,0.029935223498204322,0.025856866273782753,-0.006404864585285913,-0.0014030774209415203
1941-10-16 00:00:00,-0.1906982591004769,0.030303456119466166,-0.031128417929186997,0.018867993283458173,-0.04592637907354402,0.006782590294502455,0.00014095364342742167
1941-11-15 12:00:00,-0.012023323342790798,-0.1553545962346891,-0.018972102919599387,0.07207494798252029,0.06650706220419947,0.02267320278616168,-0.006295848653377387
1941-12-16 00:00:00,0.4797223762921726,-0.019011491714879647,-0.36149161893101234,0.05761048133349855,-0.05639588770960058,0.00025302830844424473,0.003851644719799305
1942-01-16 00:00:00,0.20907644425742308,-0.08407000515712332,-0.3985306473605964,-0.0023757450893534537,0.05603249726148618,0.002782428045521604,0.00010666163215411473
1942-02-14 12:00:00,0.208419928837044,0.0873509965300801,-0.16843285814709935,0.08252283286022682,0.11735013077878714,-1.4350334920185115e-05,0.006107674603035879
1942-03-16 00:00:00,-0.006552822669453007,-0.14454134224800053,-0.01578823700611398,0.024300377661630013,0.05645680237876283,0.011585645588113924,-0.005573978427490162
1942-04-15 12:00:00,0.13159822070176777,0.25963653055618874,-0.1712028724087145,-0.18314787373019714,0.154213465341131,-0.01091615695308809,0.013737551328386902
1942-05-16 00:00:00,-0.06422371832563542,0.25367229696355154,-0.06555900768424633,-0.2210044680012868,0.028707081202439366,-0.00032072028763360794,0.00391316100331289
1942-06-15 12:00:00,-0.20984221686058285,-0.02422972959588332,-0.019258274898719674,-0.009290747722103587,-0.0052277127627586295,-0.0036502107425419456,-0.0010215355694205702
1942-07-16 00:00:00,-0.22094881660088816,-0.0789369699094743,-0.02900562882628102,0.06000180334712135,0.020503119930826985,-0.008759079218481569,0.0006368588085038235
1942-08-16 00:00:00,-0.20562970571256495,-0.14127111142511498,-0.02130583119394036,0.08614560677214655,0.025347083395147463,-0.007113691738579689,0.0021444579673859376
1942-09-15 12:00:00,-0.21191159910451668,-0.09875836840988186,-0.015075164328160973,0.05053023939640977,0.03402213883497962,-0.0067105139224000465,-0.0007993149028452523
1942-10-16 00:00:00,-0.23585745584018114,0.038419933168372666,-0.096893225968604,0.03328011072674564,-0.0525675485538154,0.004092782727905947,0.0028410075113913663
1942-11-15 12:00:00,0.4031847018218824,-0.36901236137486865,-0.0467211778756538,0.16887515445046142,-0.17356395023773025,0.016766567142416103,0.013779272924483138
1942-12-16 00:00:00,0.005036893162988915,-0.3034758463876932,0.03441614305829255,-0.07030353941565637,0.07974150496701596,0.005523591186760768,-0.0024799212773461143
1943-01-16 00:00:00,0.5146360911524133,-0.38518148699520716,0.01160961276881195,0.33560307871716855,-0.214566589477311,-0.003829949147967013,0.007062219040769466
1943-02-14 12:00:00,0.06822830063849802,-0.03690558952084627,0.13907963967832176,-0.020439505794098423,0.0823143743292633,0.00388393042056584,0.0017464425063136169
1943-03-16 00:00:00,0.3799223889033684,0.028897351079112177,0.4082113680012512,0.10683734766085601,0.039199408559946636,0.029047699989029174,0.00837827229741557
1943-04-15 12:00:00,-0.03409011184320407,0.15439343971137787,0.06418926254570756,-0.014024164301461362,0.06013095787138359,0.018765585438113283,0.0012199656426358507
1943-05-16 00:00:00,-0.2163117588987278,2.227658035108826e-05,-0.017789903723912592,-0.007354090996157914,0.01203514031252867,-0.007063923266351579,-0.0016077753550574891
1943-06-15 12:00:00,-0.18712601263428963,0.01652393730289614,0.006049221906461344,-0.034846955548472,-0.014886833622284157,-0.005933973361827577,0.0020628592625750453
1943-07-16 00:00:00,-0.2235485590016092,-0.07212264146576497,-0.02826453420132563,0.0780769640825617,-0.03073154259694516,-0.01518128848414356,0.003011620360747258
1943-08-16 00:00:00,-0.21215672002095198,-0.09577277526058309,-0.017679803301723584,0.049863945527216735,0.03787409386167995,-0.006602166326984377,-0.0006434901959884998
1943-09-15 12:00:00,-0.21214573421570723,-0.09843970180516876,-0.012020897907097094,0.053056354923999405,0.03139700085560848,-0.009074163937484364,-0.000284928073906357
1943-10-16 00:00:00,-0.12424757553672819,0.14661060906190304,-0.016890710054656644,-0.08216939483968544,0.05831596303622105,-0.0012589967859896606,0.003143300664780399
1943-11-15 12:00:00,-0.18229357116138706,-0.06363986894694146,-0.03899737158042518,-0.0382734074689029,-0.001166334915832734,0.005766449025248019,-0.0033543725770971006
1943-12-16 00:00:00,0.006550020732630585,0.020251875122533625,-0.03914522302234655,0.17787741835664359,0.11020593423539798,0.014285278766769452,-0.002262181639211755
1944-01-16 00:00:00,0.11189818047298425,-0.22304849408429328,-0.10745198805227538,-0.023016314343986377,0.030999548535176058,0.01454351867446875,0.0020228893860745195
1944-02-15 00:00:00,0.28280164647215245,0.07242100043251343,-0.05049696153280564,0.21680349507075508,0.056417107129895894,-0.011631362706255477,-0.012779175607892226
1944-03-16 00:00:00,0.07104882375086088,-0.0626263591152535,0.13066033108750164,0.04605753295806675,-0.019604677613382693,0.021804004505256644,0.003395467793659235
1944-04-15 12:00:00,-0.026933619399982622,0.21718647823672566,-0.02234498033010035,-0.20334364661619997,0.023829854067164757,0.0044482579338888245,-0.010084873027682559
1944-05-16 00:00:00,-0.21800391302680838,0.250442410480998,-0.0761378260082923,-0.05112313796673895,-0.035163099884732874,0.0028674367727850036,0.0021274737175436403
1944-06-15 12:00:00,-0.20015593607473958,0.08377667922263637,-0.026491310396633105,-0.057454730246533414,-0.02046749890797578,-0.007993344958547394,0.0025025047856478966
1944-07-16 00:00:00,-0.20600880518145048,-0.11650073382249024,-0.013841301838880216,0.0584820632199437,0.03628155801418054,-0.006689207557736873,0.0014141704085646883
1944-08-16 00:00:00,-0.21160362545812694,-0.09895114109219497,-0.01607800088366912,0.049182489924429085,0.03937881471642429,-0.006268501429773976,-0.0007200125586457468
1944-09-15 12:00:00,-0.21678935374251934,-0.04288442830535166,-0.0161602061748109,0.030629317939842582,0.01643318775335534,-0.002688907411408023,-0.0016384330885437642
1944-10-16 00:00:00,-0.14090439952099623,-0.10339355353951193,-0.13897412013259325,-0.04262255196840159,0.09784278116934664,0.009407462269932762,-0.009288184743710015
1944-11-15 12:00:00,0.20590177136628238,-0.030014277054956906,-0.10533973214583997,0.05104106376385015,0.06736724995875049,-0.0164663328178299,-0.013639722539551147
1944-12-16 00:00:00,0.07462295198888638,-0.03707245690774019,-0.10950250596724934,-0.028632997916713254,0.08857769583626765,-0.0027014728834018065,0.005694198629617994
1945-01-16 00:00:00,-0.17156359383016567,-0.09231238217138327,-0.07725948772243815,0.0035821786961860447,0.03720784507598446,0.009245359395301314,-0.0009246608100936526
1945-02-14 12:00:00,0.4296329316638584,-0.12788647207373535,0.29638957778528924,0.04218936143542312,-0.10698898640619853,0.012504322504942211,-0.0037734439453694507
1945-03-16 00:00:00,0.33750970680786596,0.20076567787780875,0.11497387731413511,0.009941524999550977,0.086036656226814,0.0021253245797752257,-0.0018021585993773237
1945-04-15 12:00:00,-0.12727609379532828,0.05207311777920959,0.05491113857681146,-0.09522546028399165,-0.02459632214507934,-0.003149199375089326,-0.0026970218072759067
1945-05-16 00:00:00,-0.13504929562717524,0.3535481243019787,-0.010805934467076561,-0.262674796349175,-0.08015694584168565,-0.01059102573793888,-0.00027714267481079857
1945-06-15 12:00:00,-0.22146141241425382,0.09050317399144403,-0.02087598119453088,-0.04358905617483466,-0.050182441459361515,-0.008445309951122623,-4.571563047409133e-06
1945-07-16 00:00:00,-0.22602206268918418,-0.07764203718557472,-0.02912388012276687,0.06300810860153044,0.011267442015986728,-0.012243095590310268,-0.0003364454171627118
1945-08-16 00:00:00,-0.23412085604411068,-0.024751956836838507,-0.03276023694837393,0.04736381678779622,-0.0033787844147316615,-0.011547178267440186,-0.0005456884875735674
1945-09-15 12:00:00,-0.22055094771271372,-0.05081988636083146,-0.022309842018330528,0.03765798601089565,0.014805837273590139,-0.00896194627430788,-0.001340799015370528
1945-10-16 00:00:00,0.08283349076070706,0.033274925192846305,0.005313491382841651,-0.029737460204379174,-0.011374329344701783,0.006158465377886321,0.01048237115038983
1945-11-15 12:00:00,0.1374213447399715,-0.1751869568542225,-0.10391794111506819,-0.27700805112802374,0.0988511372223303,-0.008797735744702592,-0.002314532087890356
1945-12-16 00:00:00,0.4071884046453038,-0.18372855518447115,-0.18145538709542985,-0.041257703849335636,-0.025440638121523362,-0.017458946596297112,-0.009882278957334456
1946-01-16 00:00:00,0.019185080291812928,-0.10758414528295651,0.06827984400439374,-0.03177198096775263,0.0816434724780026,0.005234692657239096,-0.0023610536735808735
