time,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
1940-01-16 00:00:00,-0.43604188119463777,0.3167106584720528,-0.41426788861969877,-0.7981758063991382,-0.35941735719108747,-0.40264300806534337,0.5478282283312396,0.07967540583098631,0.7344814149821969
1940-02-15 00:00:00,1.4641893302344284,-1.5023520630960685,0.19258756722199902,0.25929592088514986,0.4855497617700575,-0.09323174712016485,-0.09104739590966904,-0.6228199530388394,0.5356930493130664
1940-03-16 00:00:00,-0.1852568578854673,0.22507755455114087,-0.15631319300466223,0.15351705484658384,0.07919531911756192,0.11915604962295384,0.2190097311054695,-0.6805481756599527,-0.38019825766803517
1940-04-15 12:00:00,-0.1816726351177339,-0.6582177781709285,-0.19569543995267857,0.35101692116593564,0.3727971082768036,-0.2736247576007466,-0.13459221011517758,0.04656283489716473,-0.2694358203005434
1940-05-16 00:00:00,-0.2121893470585502,0.12388499420933602,-0.7721304765426157,1.323519362230932,-0.9277059920160848,-0.3831633132728229,0.5138309853675025,-0.0700282124549435,0.11619719269293666
1940-06-15 12:00:00,-0.11721469320465672,-0.2351483282029954,-0.14679757759792186,-0.47328182168684996,-0.6783420332157257,0.4213867505886105,-0.4268068575539968,0.4656044636757606,-0.5637342168246524
1940-07-16 00:00:00,-0.3062316197773729,-0.1629234756120928,0.2566629737223556,-0.04245807459549311,0.23714712305071595,0.02234466401635618,-0.5271653398333019,-0.5465296954918284,-0.04779726971072401
1940-08-16 00:00:00,-0.4322485190116604,-0.6220644532611974,0.0026596095254167243,-0.3652387460704055,0.5865214243176766,0.0007331565919958538,0.31524106511527894,-0.22611964704440446,0.1507440331854646
1940-09-15 12:00:00,-0.41186082791440365,0.04020902567980217,0.30066560040277945,0.01758937621551193,-0.6299355172071263,0.8976822111316826,-0.3529970365747259,-0.5128017149992592,-0.39561306103164695
1940-10-16 00:00:00,-0.23241522455773989,0.6839056740573982,0.15306943293726424,0.695096529847411,-0.2758002745307209,-0.3476831721096747,0.331774745294227,-0.22511749030564954,-0.24626312266974068
1940-11-15 12:00:00,-0.5023428810113169,-0.43652043695825954,0.07122319755432509,-0.32470819582686083,-0.24675534726206932,-0.4530036716783552,-0.26730082997563637,-0.17807603957706075,-0.44000863857755823
1940-12-16 00:00:00,0.4635431640631885,0.6004968910508647,-0.09427244355820247,-0.2694733105642724,0.3718472614148181,-0.32320217723511685,0.17508810037329192,-0.6081946198490438,-0.021359301093609367
