time,latent,alpha,beta,lambda
1940-01-16 00:00:00,0.082684904,1.2045002,9.7080555,0.12407224
1940-02-15 00:00:00,0.089933515,1.1907295,9.805576,0.12143391
1940-03-16 00:00:00,0.48390293,1.2455227,9.422826,0.13218145
1940-04-15 12:00:00,0.65641665,1.6546491,5.0055056,0.33056584
1940-05-16 00:00:00,1.0014936,1.7013156,3.476045,0.48944005
1940-06-15 12:00:00,0.68566656,1.7250191,2.9532893,0.58410096
1940-07-16 00:00:00,1.9957159,1.8498504,1.9519652,0.94768614
1940-08-16 00:00:00,0.15939926,1.8476921,1.8418314,1.0031819
1940-09-15 12:00:00,0.060504913,1.6704166,3.3982937,0.49154568
1940-10-16 00:00:00,0.059846554,1.6458867,6.1358905,0.26823926
1940-11-15 12:00:00,0.08981742,1.6593902,4.803117,0.34548196
1940-12-16 00:00:00,0.02867759,1.1943198,9.780907,0.122107275
1941-01-16 00:00:00,0.15644816,1.22355,9.578656,0.12773712
1941-02-14 12:00:00,0.014974879,1.1982453,9.753972,0.12284691
1941-03-16 00:00:00,0.29683003,1.3435178,8.763125,0.1533149
1941-04-15 12:00:00,0.12742369,1.4110403,8.279822,0.17041916
1941-05-16 00:00:00,0.32078153,1.631226,6.379889,0.2556825
1941-06-15 12:00:00,0.49851915,1.7104611,2.966237,0.57664347
1941-07-16 00:00:00,2.9167578,1.8335992,2.14558,0.8545937
1941-08-16 00:00:00,0.66121936,1.7415541,2.6206446,0.66455185
1941-09-15 12:00:00,0.28630647,1.8432934,1.9684443,0.9364214
1941-10-16 00:00:00,0.0976821,1.6689247,3.8343754,0.43525335
1941-11-15 12:00:00,0.106408864,1.603389,6.7341285,0.23809896
1941-12-16 00:00:00,0.08083029,1.198269,9.750306,0.122895524
1942-01-16 00:00:00,0.059621856,1.2430305,9.442094,0.13164777
1942-02-14 12:00:00,0.1059019,1.2876112,9.136643,0.14092825
1942-03-16 00:00:00,0.05514213,1.6173347,6.576887,0.24591188
1942-04-15 12:00:00,0.18024172,1.375441,8.539602,0.16106616
1942-05-16 00:00:00,0.36665484,1.6257172,6.4525437,0.25194982
1942-06-15 12:00:00,1.1956918,1.8276764,2.1845796,0.8366262
1942-07-16 00:00:00,0.3739233,1.8484361,1.8129851,1.019554
1942-08-16 00:00:00,1.8716389,1.8551005,1.8786939,0.9874416
1942-09-15 12:00:00,1.1767668,1.8193991,1.6997348,1.0704018
1942-10-16 00:00:00,0.2313256,1.7331933,3.0651274,0.56545556
1942-11-15 12:00:00,0.050928324,1.2448497,9.418569,0.13216974
1942-12-16 00:00:00,0.24138305,1.6440722,6.0081644,0.27363968
1943-01-16 00:00:00,0.028906344,1.2044694,9.702231,0.12414355
1943-02-14 12:00:00,0.2825951,1.6088308,6.672015,0.24113117
1943-03-16 00:00:00,0.13821067,1.3562068,8.642395,0.15692487
1943-04-15 12:00:00,0.21192543,1.639831,6.2445984,0.26259992
1943-05-16 00:00:00,0.2618452,1.8380278,2.0754018,0.88562506
1943-06-15 12:00:00,0.23515676,1.7645813,2.6743724,0.6598114
1943-07-16 00:00:00,0.34555468,1.8607559,1.9765539,0.9414142
1943-08-16 00:00:00,0.26404154,1.8214226,1.7156585,1.0616463
1943-09-15 12:00:00,0.36986387,1.8258057,1.7018815,1.072816
1943-10-16 00:00:00,0.12946446,1.6605625,5.2947874,0.31362215
1943-11-15 12:00:00,0.33391836,1.698751,3.3366938,0.50911206
1943-12-16 00:00:00,0.41612574,1.5362334,7.3635473,0.20862682
1944-01-16 00:00:00,0.17750663,1.4832739,7.7622366,0.19108847
1944-02-15 00:00:00,0.47603917,1.2468648,9.413682,0.1324524
1944-03-16 00:00:00,0.014877189,1.5970441,6.775787,0.2356987
1944-04-15 12:00:00,0.15066698,1.6032506,6.7129145,0.23883079
1944-05-16 00:00:00,0.34372684,1.663601,4.285873,0.38815922
1944-06-15 12:00:00,0.4320969,1.7302433,2.998065,0.57712
1944-07-16 00:00:00,2.2625546,1.8416635,1.8194585,1.0122042
1944-08-16 00:00:00,0.45452487,1.818112,1.7036779,1.0671688
1944-09-15 12:00:00,0.08715186,1.8407583,1.8494968,0.9952752
1944-10-16 00:00:00,0.273929,1.6611397,5.5141163,0.30125222
1944-11-15 12:00:00,0.6042559,1.3051105,9.01388,0.14478898
1944-12-16 00:00:00,0.046358414,1.5096691,7.574049,0.19932127
1945-01-16 00:00:00,0.47479755,1.6785917,4.1021304,0.40919998
1945-02-14 12:00:00,0.45664942,1.3070974,8.976717,0.14560974
1945-03-16 00:00:00,0.15610883,1.2878194,9.128723,0.14107333
1945-04-15 12:00:00,0.5533796,1.6567619,3.9009356,0.42470884
1945-05-16 00:00:00,0.12949143,1.6482261,5.2099257,0.3163627
1945-06-15 12:00:00,1.1963311,1.7848036,2.4454527,0.7298459
1945-07-16 00:00:00,0.08424991,1.8420247,1.7392282,1.0591047
1945-08-16 00:00:00,1.7207211,1.8551087,1.8428321,1.0066619
1945-09-15 12:00:00,0.8858721,1.8385341,1.7865245,1.0291121
1945-10-16 00:00:00,0.12742114,1.5115857,7.5346255,0.20061857
1945-11-15 12:00:00,0.12206346,1.4891622,7.7217927,0.19285187
1945-12-16 00:00:00,0.06530034,1.2221452,9.582768,0.12753572
1946-01-16 00:00:00,0.18415177,1.6409868,6.2186174,0.2638829
1946-02-14 12:00:00,0.37337294,1.6284676,6.481368,0.25125366
1946-03-16 00:00:00,0.02794936,1.3931859,8.374521,0.16636007
1946-04-15 12:00:00,0.015156529,1.7309664,3.073738,0.563147
1946-05-16 00:00:00,0.44161406,1.6995538,3.4356554,0.49468112
1946-06-15 12:00:00,0.93911064,1.8318634,1.7560977,1.0431443
1946-07-16 00:00:00,0.49583492,1.8571761,2.0138814,0.9221874
1946-08-16 00:00:00,1.489155,1.8438419,1.8304911,1.0072936
1946-09-15 12:00:00,1.132295,1.8312174,1.8211824,1.0055102
1946-10-16 00:00:00,0.2834367,1.6511066,4.892194,0.3374982
1946-11-15 12:00:00,0.069880165,1.2680228,9.258412,0.13695899
1946-12-16 00:00:00,0.0685909,1.522131,7.4588923,0.2040693
1947-01-16 00:00:00,0.4005556,1.6595583,5.417214,0.30634904
1947-02-14 12:00:00,0.48014554,1.4857813,7.7492213,0.19173299
1947-03-16 00:00:00,0.31515548,1.4069446,8.301708,0.16947652
1947-04-15 12:00:00,0.11238456,1.6600461,4.73324,0.35072088
1947-05-16 00:00:00,0.41850087,1.6696231,3.9448621,0.42323992
1947-06-15 12:00:00,0.20324497,1.6544096,4.9137936,0.33668685
1947-07-16 00:00:00,0.17913692,1.8298491,1.7472197,1.047292
1947-08-16 00:00:00,2.0126688,1.8418994,2.2099626,0.83345276
1947-09-15 12:00:00,0.45320794,1.8492632,2.0151126,0.9176972
1947-10-16 00:00:00,0.33981484,1.5236243,7.448104,0.20456539
1947-11-15 12:00:00,0.07906807,1.6549615,4.7193074,0.3506789
1947-12-16 00:00:00,0.056682333,1.633523,6.3560705,0.25700203
1948-01-16 00:00:00,0.06849805,1.589395,6.832749,0.2326143
1948-02-15 00:00:00,0.34635308,1.6029378,6.7433815,0.23770535
1948-03-16 00:00:00,0.052947283,1.2406689,9.456253,0.1312009
1948-04-15 12:00:00,0.028682576,1.2163806,9.623602,0.12639557
1948-05-16 00:00:00,0.38985273,1.6089499,6.607236,0.24351332
1948-06-15 12:00:00,0.258955,1.6592638,3.7978399,0.43689674
1948-07-16 00:00:00,2.0903096,1.8423047,1.8775058,0.9812512
1948-08-16 00:00:00,0.26849562,1.8343018,1.7898574,1.0248313
1948-09-15 12:00:00,0.9381083,1.8418057,2.2059498,0.83492637
1948-10-16 00:00:00,0.1681477,1.6720773,4.1143026,0.40640602
1948-11-15 12:00:00,0.53496975,1.649584,5.673921,0.29073086
1948-12-16 00:00:00,0.32535398,1.2538455,9.36569,0.13387646
1949-01-16 00:00:00,0.088285364,1.6124479,6.634261,0.2430486
1949-02-14 12:00:00,0.252406,1.4421973,8.057018,0.17899889
1949-03-16 00:00:00,0.23503911,1.2049937,9.703589,0.124180205
1949-04-15 12:00:00,0.653253,1.6579776,4.02869,0.41154262
1949-05-16 00:00:00,0.038485575,1.6331962,6.040944,0.27035448
1949-06-15 12:00:00,1.4699211,1.8382264,1.7990972,1.0217494
1949-07-16 00:00:00,0.37948218,1.8395939,1.7879463,1.0288866
1949-08-16 00:00:00,1.6599582,1.8601685,1.8985065,0.9798062
1949-09-15 12:00:00,0.6568862,1.8448694,2.0491133,0.9003257
1949-10-16 00:00:00,0.74887556,1.7998853,2.4847221,0.7243809
1949-11-15 12:00:00,0.32238567,1.6087579,6.6604886,0.24153751
1949-12-16 00:00:00,0.36851633,1.5456858,7.2786617,0.2123585
1950-01-16 00:00:00,0.06213434,1.2113458,9.655608,0.12545516
1950-02-14 12:00:00,0.2896077,1.4993062,7.635643,0.19635625
1950-03-16 00:00:00,0.22703674,1.5395323,7.2919326,0.21112816
1950-04-15 12:00:00,0.73480856,1.6378537,6.231899,0.26281777
1950-05-16 00:00:00,0.8469552,1.65309,4.6273885,0.35724038
1950-06-15 12:00:00,0.8439689,1.7479247,2.6731207,0.6538892
1950-07-16 00:00:00,1.6419452,1.8597308,1.9181544,0.9695418
1950-08-16 00:00:00,0.11238349,1.8510143,1.8809618,0.9840786
