time,latent,alpha,beta,lambda
1947-03-16 00:00:00,0.0068358625,1.000157,1.9977894,0.50063187
1947-04-15 12:00:00,0.027135143,1.0004609,2.0038633,0.49926603
1947-05-16 00:00:00,0.4519644,0.99990654,2.0064466,0.49834695
1947-06-15 12:00:00,0.034890395,0.9990493,2.002661,0.49886093
1947-07-16 00:00:00,1.004791,0.9979733,1.9994183,0.49913186
1947-08-16 00:00:00,0.6371189,0.9985483,2.0050626,0.49801356
1947-09-15 12:00:00,0.23862913,0.99882185,2.000896,0.4991873
1947-10-16 00:00:00,0.262008,0.99983877,1.9977907,0.50047225
1947-11-15 12:00:00,0.4576999,0.9992617,2.0037622,0.49869275
1947-12-16 00:00:00,0.60115296,0.99928916,2.0025399,0.49901086
1948-01-16 00:00:00,0.88108885,0.9991514,1.9963701,0.50048405
1948-02-15 00:00:00,0.30679023,0.9993709,2.0034726,0.49881935
1948-03-16 00:00:00,0.21743307,1.0021174,1.9997052,0.50113255
1948-04-15 12:00:00,0.08623216,1.0029383,1.9986075,0.50181854
1948-05-16 00:00:00,0.06674523,0.99839646,1.999276,0.49937898
1948-06-15 12:00:00,0.4044789,1.0002468,2.0043228,0.49904475
1948-07-16 00:00:00,0.15336455,0.9983562,2.0002618,0.49911278
1948-08-16 00:00:00,0.099759676,0.99798596,1.9993205,0.49916255
1948-09-15 12:00:00,1.0512053,0.9988894,2.0019305,0.4989631
1948-10-16 00:00:00,0.24168949,1.000095,2.007874,0.49808654
1948-11-15 12:00:00,0.10215153,0.99905735,1.9997126,0.49960047
1948-12-16 00:00:00,0.5762477,1.0009065,1.9998258,0.5004968
1949-01-16 00:00:00,0.0739033,0.99905527,2.0031028,0.49875388
1949-02-14 12:00:00,0.07326637,0.99983394,1.9981359,0.5003833
1949-03-16 00:00:00,1.342965,1.0022603,2.0008762,0.5009107
1949-04-15 12:00:00,0.18314688,0.99994,2.004544,0.49883664
1949-05-16 00:00:00,0.12567523,0.9982744,2.0007157,0.49895865
1949-06-15 12:00:00,0.14422558,0.9982628,2.0004041,0.4990306
1949-07-16 00:00:00,0.12647285,0.9982204,1.9999602,0.49912012
1949-08-16 00:00:00,2.0341053,0.99849004,2.003401,0.49839747
1949-09-15 12:00:00,0.500768,0.99868536,2.001387,0.49899665
1949-10-16 00:00:00,0.65766764,0.9989543,2.004118,0.49845085
1949-11-15 12:00:00,0.05273063,0.9993924,2.0010123,0.49944338
1949-12-16 00:00:00,0.23283286,0.9996565,2.0015974,0.49942935
1950-01-16 00:00:00,0.5740124,1.0025837,1.9980272,0.5017868
1950-02-14 12:00:00,0.0034562491,0.9996271,1.9990075,0.50006175
1950-03-16 00:00:00,0.57542545,0.9991087,1.9990004,0.49980414
1950-04-15 12:00:00,0.76838,0.99908656,1.9999685,0.49955115
1950-05-16 00:00:00,0.56110173,0.9992986,2.004553,0.49851438
1950-06-15 12:00:00,0.07449042,0.9998951,2.0049248,0.4987195
1950-07-16 00:00:00,0.13058324,0.99910265,2.0019155,0.49907336
1950-08-16 00:00:00,0.4533845,0.9984504,2.001154,0.49893734
