Model_Component,Model_Fit,Model_Evaluation_1,Evaluation_Value_1,Model_Evaluation_2,Evaluation_Value_2
signal_freq,Expon,KS Test,0.3405602672326695,p_val,9.48746098382517e-08
signal,Expon,KS Test,0.3929831639765796,p_val,2.9690553460699685e-10
intensity,Expon,KS Test,0.4197295792121022,p_val,1.0834030901005063e-11
duration,Expon,Chi-Squared Test,13.180395121331994,p_val,0.06783319088209781
frequency,Poisson,Chi-Squared Test,48.429563492063494,p_val,9.696542051938611e-09
Forecast_Model,"ARIMA((2, 0, 2))",AIC,168.73996827915937,BIC,183.4660520566804
